,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"7,972.00","11,273.00","9,877.00","8,113.00","6,904.00"
Depreciation/Depletion,"6,050.00","5,108.00","2,302.00","2,376.00","2,143.00"
Non-Cash Items,(25.00),(276.00),(214.00),(84.00),(314.00)
Cash Taxes Paid,"2,501.00","3,070.00","2,314.00","2,402.00","2,529.00"
Cash Interest Paid,348.00,363.00,113.00,129.00,122.00
Changes in Working Capital,"(3,100.00)","(4,457.00)","(3,475.00)","(3,433.00)","(2,557.00)"
Cash from Operating Activities,"10,897.00","11,648.00","8,490.00","6,972.00","6,176.00"
Capital Expenditures,"(2,465.00)","(3,388.00)","(3,141.00)","(2,345.00)","(2,590.00)"
"Other Investing Cash Flow Items, Total",(474.00),"(2,481.00)",(298.00),"(6,262.00)",292.00
Cash from Investing Activities,"(2,939.00)","(5,869.00)","(3,439.00)","(8,607.00)","(2,298.00)"
Financing Cash Flow Items,29.00,104.00,(758.00),67.00,(611.00)
Total Cash Dividends Paid,"(2,799.00)","(3,678.00)","(2,715.00)","(2,110.00)","(1,859.00)"
"Issuance (Retirement) of Debt, Net","10,173.00","(1,160.00)",(645.00),"4,171.00","(1,268.00)"
Cash from Financing Activities,"7,403.00","(4,734.00)","(4,323.00)","2,158.00","(3,985.00)"
Foreign Exchange Effects,"(1,052.00)",39.00,67.00,(242.00),54.00
Net Change in Cash,"14,309.00","1,084.00",795.00,281.00,(53.00)
"Issuance (Retirement) of Stock, Net",(205.00),30.00,(247.00),117.00,--
