NAME,AGE,POSITION,APPOINTED
Denis Kessler,69,"Chairman Of The Board And Chief Executive Officer, Member Of The Executive Committee",2002
Benoit Ribadeau-Dumas,48,"Deputy Chief Executive Officer, Member Of The Executive Committee",2021
Ian Kelly,--,"Chief Financial Officer, Member Of The Executive Board",2020
Romain Launay,--,"Group Chief Operating Officer, Member Of The Executive Committee",2016
Frieder Knuepling,--,Group Chief Risk Officer And Member Of The Executive Committee,2014
Claire Le Gall-Robinson,45,"Secretary General, Member Of The Executive Committee",2021
Jean-Paul Conoscente,55,"Chief Executive Officer Of SCOR Global P&C, Member Of The Executive Committee",2019
Paolo De Martin,51,"Chief Executive Officer Of SCOR Global Life SE, Member Of The Executive Committee",2014
Francois De Varenne,53,"Chief Executive Officer Of SCOR Global Investments SE, Member Of The Executive Committee",2008
Brona Magee,--,"Deputy Chief Executive Officer Of SCOR Global Life, Member Of The Executive Committee",2018
Laurent J. Rousseau,42,"Chief Executive Officer Of The Specialty Insurance, Deputy Chief Executive Officer Of SCOR Global P&C, Member Of The Executive Committee",2018
Augustin De Romanet De Beaune,59,Lead Independent Director,2017
Fiona Camara,31,"Director, Employee Representative",2019
Lauren Burns Carraud,34,"Director, Employee Representative",2020
Claude Tendil,75,Director,2017
Fabrice Bregier,59,Independent Director,2019
Adrien Couret,37,Independent Director,2020
Vanessa Marquette,49,Independent Director,2015
Bruno Pfister,61,Independent Director,2016
Thomas Saunier,54,Independent Director Representing Malakoff Mederic Assurances,2017
Kory Beth Sorenson,52,Independent Director,2013
Natacha Valla,45,Independent Director,2020
Jane Fields Wicker-Miurin,62,Independent Director,2013
Wang Zhen,64,Independent Director,2018
