,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,234.00,422.00,322.00,286.00,603.00
Depreciation/Depletion,131.00,175.00,154.00,93.00,36.00
Non-Cash Items,499.00,87.00,137.00,432.00,(570.00)
Cash Interest Paid,115.00,117.00,137.00,126.00,152.00
Changes in Working Capital,124.00,157.00,278.00,333.00,"1,285.00"
Cash from Operating Activities,988.00,841.00,891.00,"1,144.00","1,354.00"
Capital Expenditures,(135.00),(130.00),(82.00),(51.00),(71.00)
"Other Investing Cash Flow Items, Total",(329.00),(89.00),(19.00),"(1,229.00)",(297.00)
Cash from Investing Activities,(464.00),(219.00),(101.00),"(1,280.00)",(368.00)
Financing Cash Flow Items,(128.00),(108.00),(139.00),(161.00),(240.00)
Total Cash Dividends Paid,0.00,(325.00),(314.00),(310.00),(280.00)
"Issuance (Retirement) of Stock, Net",(40.00),9.00,(266.00),15.00,(96.00)
"Issuance (Retirement) of Debt, Net",127.00,51.00,81.00,(11.00),(279.00)
Cash from Financing Activities,(41.00),(373.00),(638.00),(467.00),(895.00)
Foreign Exchange Effects,(114.00),11.00,22.00,(84.00),(29.00)
Net Change in Cash,369.00,260.00,174.00,(687.00),62.00
