,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,574.00,761.00,679.00,148.00,872.00
Cash & Equivalents,"1,230.00",674.00,496.00,853.00,816.00
"Total Receivables, Net","9,418.00","9,220.00","8,978.00","9,299.00","9,815.00"
"Property/Plant/Equipment, Total - Gross","1,153.00","1,130.00",890.00,861.00,763.00
"Accumulated Depreciation, Total",(245.00),(311.00),(172.00),(159.00),(142.00)
"Property/Plant/Equipment, Total - Net",908.00,819.00,718.00,702.00,621.00
"Goodwill, Net",882.00,870.00,859.00,859.00,788.00
"Intangibles, Net","1,556.00","1,700.00","1,815.00","1,729.00","1,787.00"
Long Term Investments,"20,491.00","20,868.00","19,550.00","19,022.00","18,249.00"
Insurance Receivables,"6,850.00","7,075.00","6,619.00","6,021.00","6,277.00"
Note Receivable - Long Term,126.00,131.00,188.00,193.00,164.00
"Other Long Term Assets, Total",562.00,532.00,554.00,533.00,683.00
Deferred Policy Acquisition Costs,"1,456.00","1,597.00","1,501.00","1,415.00","1,376.00"
"Other Assets, Total","2,164.00","2,631.00","2,426.00","2,460.00","1,845.00"
Total Assets,"46,217.00","46,878.00","44,383.00","43,234.00","43,293.00"
Policy Liabilities,"32,102.00","33,254.00","31,966.00","30,723.00","30,611.00"
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,25.00,21.00,--,--,--
"Other Current liabilities, Total",135.00,90.00,52.00,100.00,129.00
Long Term Debt,"3,029.00","2,930.00","2,831.00","2,702.00","2,757.00"
Capital Lease Obligations,156.00,76.00,--,--,--
Total Long Term Debt,"3,185.00","3,006.00","2,831.00","2,702.00","2,757.00"
Total Debt,"3,210.00","3,027.00","2,831.00","2,702.00","2,757.00"
Deferred Income Tax,260.00,270.00,207.00,338.00,354.00
Minority Interest,22.00,26.00,28.00,30.00,34.00
"Other Liabilities, Total","4,333.00","3,863.00","3,499.00","3,146.00","2,747.00"
Total Liabilities,"40,062.00","40,530.00","38,583.00","37,039.00","36,632.00"
"Common Stock, Total","1,471.00","1,473.00","1,521.00","1,524.00","1,517.00"
Additional Paid-In Capital,609.00,624.00,815.00,839.00,833.00
Retained Earnings (Accumulated Deficit),"3,803.00","4,091.00","3,947.00","3,855.00","4,401.00"
Treasury Stock - Common,(43.00),(54.00),(338.00),(179.00),(224.00)
Unrealized Gain (Loss),315.00,214.00,(145.00),156.00,134.00
Total Equity,"6,155.00","6,348.00","5,800.00","6,195.00","6,661.00"
Total Liabilities & Shareholders' Equity,"46,217.00","46,878.00","44,383.00","43,234.00","43,293.00"
Total Common Shares Outstanding,186.47,186.38,183.95,187.63,185.33
"Tangible Book Value per Share, Common Eq",19.93,20.27,16.99,19.22,22.05
