,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Total Premiums Earned,"16,304.00","15,864.00","15,001.00","14,556.00","13,674.00"
Net Investment Income,594.00,680.00,618.00,751.00,802.00
Realized & Unrealized Gains (Losses),196.00,86.00,127.00,46.00,(46.00)
"Other Revenue, Total",18.00,25.00,(13.00),--,--
Total Revenue,"17,112.00","16,655.00","15,733.00","15,353.00","14,430.00"
"Losses, Benefits, and Adjustments, Total","16,199.00","15,552.00","14,755.00","14,572.00","13,175.00"
"Selling/General/Admin. Expenses, Total",80.00,75.00,68.00,69.00,62.00
Unusual Expense (Income),61.00,40.00,6.00,0.00,--
"Other Operating Expenses, Total",293.00,275.00,246.00,221.00,242.00
Total Operating Expense,"16,633.00","15,942.00","15,075.00","14,862.00","13,479.00"
Operating Income,479.00,713.00,658.00,491.00,951.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(112.00),(105.00),(118.00),(101.00),(121.00)
"Other, Net",(31.00),(39.00),(43.00),(49.00),(58.00)
Net Income Before Taxes,336.00,569.00,497.00,341.00,772.00
Provision for Income Taxes,106.00,147.00,107.00,56.00,166.00
Net Income After Taxes,230.00,422.00,390.00,285.00,606.00
Minority Interest,4.00,0.00,0.00,1.00,(3.00)
Net Income Before Extra. Items,234.00,422.00,390.00,286.00,603.00
Total Extraordinary Items,0.00,0.00,(68.00),--,--
Net Income,234.00,422.00,322.00,286.00,603.00
Income Available to Com Excl ExtraOrd,234.00,422.00,390.00,286.00,603.00
Income Available to Com Incl ExtraOrd,234.00,422.00,322.00,286.00,603.00
Diluted Net Income,234.00,422.00,322.00,286.00,603.00
Diluted Weighted Average Shares,187.92,187.64,189.60,189.66,188.28
Diluted EPS Excluding ExtraOrd Items,1.25,2.25,2.06,1.51,3.20
DPS - Common Stock Primary Issue,1.80,0.00,1.75,1.65,1.65
Diluted Normalized EPS,1.47,2.41,2.08,1.51,3.20
Dilution Adjustment,0.00,0.00,0.00,0.00,--
