,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"26,009.90","27,188.70","25,951.30","24,818.40","24,187.00"
Total Revenue,"26,009.90","27,188.70","25,951.30","24,818.40","24,187.00"
"Cost of Revenue, Total","21,861.30","22,547.40","21,383.60","20,328.50","19,716.10"
Gross Profit,"4,148.60","4,641.30","4,567.70","4,489.90","4,470.90"
"Selling/General/Admin. Expenses, Total","2,739.40","2,789.40","2,777.70","2,817.30","2,834.50"
Unusual Expense (Income),411.20,407.20,400.30,431.50,520.30
"Other Operating Expenses, Total",189.00,109.70,46.00,76.90,17.00
Total Operating Expense,"25,200.90","25,853.70","24,607.60","23,654.20","23,087.90"
Operating Income,809.00,"1,335.00","1,343.70","1,164.20","1,099.10"
"Interest Inc.(Exp.),Net-Non-Op., Total",(323.70),(39.70),(359.10),(257.70),(217.90)
"Other, Net",(119.90),(124.30),(131.30),(195.30),(205.50)
Net Income Before Taxes,365.40,"1,171.00",853.30,711.20,675.70
Provision for Income Taxes,137.00,298.50,199.00,217.20,191.20
Net Income After Taxes,228.40,872.50,654.30,494.00,484.50
Minority Interest,(119.70),(135.70),(167.30),(137.60),(103.00)
Equity In Affiliates,0.00,0.00,0.00,22.80,27.40
Net Income Before Extra. Items,108.70,736.80,487.00,379.20,408.90
Total Extraordinary Items,(19.90),(111.90),(46.40),18.50,(25.80)
Net Income,88.80,624.90,440.60,397.70,383.10
Total Adjustments to Net Income,0.00,0.00,(66.40),(67.80),(71.50)
Income Available to Com Excl ExtraOrd,108.70,736.80,420.60,311.40,408.90
Income Available to Com Incl ExtraOrd,88.80,624.90,374.20,329.90,383.10
Dilution Adjustment,0.00,0.00,0.14,(2.38),(70.43)
Diluted Net Income,88.80,624.90,374.34,327.52,312.68
Diluted Weighted Average Shares,554.90,578.50,575.90,574.60,568.50
Diluted EPS Excluding ExtraOrd Items,0.20,1.27,0.73,0.54,0.60
DPS - Common Stock Primary Issue,0.70,0.50,0.92,0.84,0.80
Diluted Normalized EPS,0.84,1.80,1.26,1.06,1.25
