,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"7,884.00","8,738.00","8,816.00","8,326.00","7,535.00"
Total Revenue,"7,884.00","8,738.00","8,816.00","8,326.00","7,535.00"
"Cost of Revenue, Total","6,336.00","6,837.00","6,841.00","6,467.00","5,888.00"
Gross Profit,"1,548.00","1,901.00","1,975.00","1,859.00","1,647.00"
"Selling/General/Admin. Expenses, Total",745.00,773.00,747.00,727.00,691.00
Research & Development,241.00,249.00,237.00,235.00,222.00
Unusual Expense (Income),(38.00),73.00,63.00,52.00,(21.00)
Total Operating Expense,"7,284.00","7,932.00","7,888.00","7,481.00","6,818.00"
Operating Income,600.00,806.00,928.00,845.00,717.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(70.00),(100.00),(88.00),(91.00),(81.00)
"Other, Net",(17.00),(18.00),(11.00),(11.00),(14.00)
Net Income Before Taxes,513.00,688.00,829.00,743.00,622.00
Provision for Income Taxes,178.00,137.00,114.00,198.00,193.00
Net Income After Taxes,335.00,551.00,715.00,545.00,429.00
Minority Interest,(3.00),(8.00),(8.00),(5.00),(2.00)
Net Income Before Extra. Items,332.00,543.00,707.00,540.00,427.00
Net Income,332.00,543.00,707.00,576.00,427.00
Total Adjustments to Net Income,(28.00),(52.00),(33.00),--,--
Income Available to Com Excl ExtraOrd,304.00,491.00,674.00,540.00,427.00
Income Available to Com Incl ExtraOrd,304.00,491.00,674.00,576.00,427.00
Diluted Net Income,304.00,491.00,674.00,576.00,426.93
Diluted Weighted Average Shares,76.70,76.62,76.38,75.90,75.43
Diluted EPS Excluding ExtraOrd Items,3.96,6.41,8.82,7.12,5.66
DPS - Common Stock Primary Issue,2.50,2.20,2.50,2.30,2.05
Diluted Normalized EPS,3.74,7.62,9.63,7.69,5.47
Dilution Adjustment,0.00,(0.07),(0.24),--,--
Total Extraordinary Items,36.00,--,--,--,--
Depreciation/Amortization,38.00,35.00,--,--,--
