,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,937.18,"1,101.16","1,062.17","1,024.23",963.64
Total Revenue,937.18,"1,101.16","1,062.17","1,024.23",963.64
"Cost of Revenue, Total",510.11,655.15,628.02,590.37,553.19
Gross Profit,427.07,446.01,434.16,433.86,410.45
"Selling/General/Admin. Expenses, Total",251.77,315.74,309.55,288.57,259.87
Depreciation/Amortization,41.02,40.34,34.73,30.31,28.38
Unusual Expense (Income),7.23,2.27,4.79,(0.01),(1.39)
"Other Operating Expenses, Total",20.08,(1.27),11.97,(0.38),8.19
Total Operating Expense,830.20,"1,012.23",989.06,908.87,848.24
Operating Income,106.98,88.93,73.11,115.36,115.39
"Interest Inc.(Exp.),Net-Non-Op., Total",(2.00),(2.24),(2.18),(1.86),(2.38)
"Other, Net",0.09,(0.13),0.06,0.03,0.31
Net Income Before Taxes,105.07,86.56,70.99,113.53,113.33
Provision for Income Taxes,20.22,23.31,9.19,28.56,27.04
Net Income After Taxes,84.85,63.25,61.80,84.97,86.29
Minority Interest,(0.60),(0.56),(0.69),(0.12),0.12
Equity In Affiliates,1.29,0.00,(0.05),--,--
Net Income Before Extra. Items,85.54,62.69,61.11,84.85,86.41
Net Income,85.54,62.69,61.11,84.85,86.41
Income Available to Com Excl ExtraOrd,85.54,62.69,61.11,84.85,86.41
Income Available to Com Incl ExtraOrd,85.54,62.69,61.11,84.85,86.41
Diluted Net Income,85.54,62.69,61.11,84.85,86.41
Diluted Weighted Average Shares,26.73,26.79,26.68,26.77,26.74
Diluted EPS Excluding ExtraOrd Items,3.20,2.34,2.29,3.17,3.23
DPS - Common Stock Primary Issue,0.45,0.20,0.30,0.30,0.30
Diluted Normalized EPS,3.42,2.40,2.45,3.17,3.19
