,30-Jun-21,31-Dec-20,30-Jun-20
Revenue,487.59,550.17,387.01
Total Revenue,487.59,550.17,387.01
"Cost of Revenue, Total",283.41,303.82,206.29
Gross Profit,204.18,246.35,180.72
"Selling/General/Admin. Expenses, Total",139.43,131.06,120.70
Depreciation/Amortization,20.90,20.28,20.74
Unusual Expense (Income),0.00,7.88,0.17
"Other Operating Expenses, Total",(6.89),5.41,13.84
Total Operating Expense,436.85,468.45,361.75
Operating Income,50.74,81.72,25.26
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.69),(1.01),(0.98)
"Other, Net",0.05,0.13,(0.03)
Net Income Before Taxes,50.10,80.83,24.24
Provision for Income Taxes,12.20,16.21,4.02
Net Income After Taxes,37.90,64.63,20.22
Minority Interest,(0.12),(0.59),(0.01)
Equity In Affiliates,0.25,1.29,--
Net Income Before Extra. Items,38.03,65.33,20.21
Net Income,38.03,65.33,20.21
Income Available to Com Excl ExtraOrd,38.03,65.33,20.21
Income Available to Com Incl ExtraOrd,38.03,65.33,20.21
Diluted Net Income,38.03,65.33,20.21
Diluted Weighted Average Shares,26.78,26.87,26.60
Diluted EPS Excluding ExtraOrd Items,1.42,2.43,0.76
DPS - Common Stock Primary Issue,0.00,0.45,0.00
Diluted Normalized EPS,1.42,2.67,0.77
