,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,86.14,63.25,61.80,84.97,86.29
Depreciation/Depletion,40.95,40.34,34.73,30.31,28.38
Non-Cash Items,27.35,3.75,16.32,(1.57),10.34
Changes in Working Capital,7.68,(30.64),(39.47),(28.61),(31.19)
Cash from Operating Activities,162.13,76.70,73.38,85.10,93.82
Capital Expenditures,(33.08),(48.65),(77.00),(87.25),(49.31)
"Other Investing Cash Flow Items, Total",(0.89),0.51,(2.59),0.91,5.21
Cash from Investing Activities,(33.97),(48.14),(79.59),(86.34),(44.10)
Financing Cash Flow Items,(0.24),(0.07),--,--,--
Total Cash Dividends Paid,(5.21),(8.02),(8.02),(8.02),(5.35)
"Issuance (Retirement) of Debt, Net",(24.48),(8.21),0.05,5.97,4.02
Cash from Financing Activities,(29.94),(16.30),(7.97),(2.05),(1.33)
Foreign Exchange Effects,(27.74),0.16,(1.04),(3.32),(1.53)
Net Change in Cash,70.49,12.42,(15.22),(6.61),46.86
