,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,698.00,787.00,768.00,508.00,101.00
Cash & Equivalents,"2,765.00","1,195.00","1,288.00","1,404.00","1,556.00"
Short Term Investments,5.00,6.00,7.00,8.00,7.00
Cash and Short Term Investments,"3,468.00","1,988.00","2,063.00","1,920.00","1,664.00"
"Accounts Receivable - Trade, Net",578.00,625.00,672.00,649.00,554.00
"Total Receivables, Net","1,113.00","1,112.00",988.00,"1,074.00",700.00
Total Inventory,70.00,94.00,38.00,33.00,26.00
Prepaid Expenses,175.00,117.00,88.00,109.00,30.00
Total Current Assets,"4,826.00","3,310.00","3,177.00","3,137.00","2,476.00"
"Property/Plant/Equipment, Total - Gross","15,374.00","14,733.00","13,820.00","12,911.00","11,790.00"
"Accumulated Depreciation, Total","(7,290.00)","(6,803.00)","(6,548.00)","(6,118.00)","(5,519.00)"
"Property/Plant/Equipment, Total - Net","8,084.00","7,930.00","7,272.00","6,793.00","6,271.00"
"Goodwill, Net",147.00,190.00,199.00,131.00,18.00
"Intangibles, Net","2,648.00","3,114.00","3,361.00","2,677.00",92.00
Long Term Investments,"2,509.00","1,599.00","1,733.00","1,214.00","1,650.00"
Note Receivable - Long Term,310.00,612.00,325.00,324.00,75.00
"Other Long Term Assets, Total",46.00,38.00,0.00,0.00,10.00
Total Assets,"18,570.00","16,793.00","16,067.00","14,276.00","10,592.00"
Accounts Payable,682.00,679.00,590.00,422.00,472.00
Accrued Expenses,704.00,496.00,449.00,373.00,376.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,"1,421.00","1,241.00","1,059.00",573.00,192.00
"Other Current liabilities, Total",553.00,566.00,512.00,491.00,201.00
Total Current Liabilities,"3,360.00","2,982.00","2,610.00","1,859.00","1,241.00"
Long Term Debt,"9,213.00","5,938.00","5,909.00","5,271.00","4,221.00"
Capital Lease Obligations,98.00,73.00,--,--,--
Total Long Term Debt,"9,311.00","6,011.00","5,909.00","5,271.00","4,221.00"
Total Debt,"10,732.00","7,252.00","6,968.00","5,844.00","4,413.00"
Deferred Income Tax,89.00,371.00,383.00,369.00,198.00
Minority Interest,561.00,975.00,951.00,857.00,7.00
"Other Liabilities, Total","1,597.00","1,422.00","1,364.00","1,343.00",641.00
Total Liabilities,"14,918.00","11,761.00","11,217.00","9,699.00","6,308.00"
"Common Stock, Total",297.00,297.00,297.00,297.00,297.00
Additional Paid-In Capital,543.00,543.00,543.00,543.00,543.00
Retained Earnings (Accumulated Deficit),"3,164.00","4,341.00","4,096.00","3,834.00","3,541.00"
Treasury Stock - Common,(3.00),0.00,(12.00),(24.00),--
Unrealized Gain (Loss),(24.00),1.00,7.00,(3.00),5.00
"Other Equity, Total",(325.00),(150.00),(93.00),(94.00),(90.00)
Total Equity,"3,652.00","5,032.00","4,850.00","4,577.00","4,284.00"
Total Liabilities & Shareholders' Equity,"18,570.00","16,793.00","16,067.00","14,276.00","10,592.00"
Total Common Shares Outstanding,98.94,98.96,98.96,98.96,98.96
"Tangible Book Value per Share, Common Eq",8.66,17.46,13.04,17.88,42.18
"Other Current Assets, Total",(1.00),0.00,1.00,56.00,4.00
