,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,482.00","1,286.00","1,309.00","1,685.00","1,558.00"
Cash & Equivalents,"2,957.00","3,180.00","2,991.00","1,908.00","1,747.00"
Short Term Investments,368.00,252.00,190.00,161.00,239.00
Cash and Short Term Investments,"4,807.00","4,718.00","4,490.00","3,754.00","3,544.00"
"Accounts Receivable - Trade, Net","1,523.00","1,575.00","1,424.00","1,433.00","1,341.00"
"Total Receivables, Net","6,913.00","7,953.00","7,670.00","8,013.00","8,208.00"
Total Inventory,"5,326.00","5,867.00","6,135.00","6,690.00","7,039.00"
Prepaid Expenses,304.00,299.00,329.00,344.00,327.00
Total Current Assets,"17,350.00","18,837.00","18,670.00","18,816.00","19,148.00"
"Property/Plant/Equipment, Total - Gross","35,319.00","35,742.00","31,971.00","31,621.00","31,168.00"
"Accumulated Depreciation, Total","(20,308.00)","(19,321.00)","(19,333.00)","(18,524.00)","(17,763.00)"
"Property/Plant/Equipment, Total - Net","15,011.00","16,420.00","12,637.00","13,097.00","13,406.00"
"Goodwill, Net","8,034.00","7,976.00","7,983.00","7,977.00","8,640.00"
"Intangibles, Net","1,325.00","1,452.00","1,461.00","1,364.00","1,266.00"
Long Term Investments,"2,643.00","3,065.00","3,038.00","3,132.00","3,185.00"
Note Receivable - Long Term,"1,933.00","2,283.00","2,486.00","2,455.00","2,371.00"
"Other Long Term Assets, Total","1,292.00","1,431.00","1,103.00",972.00,829.00
Total Assets,"47,588.00","51,464.00","47,378.00","47,813.00","48,845.00"
Accounts Payable,"12,560.00","13,646.00","14,161.00","15,082.00","15,396.00"
Accrued Expenses,"1,532.00","1,518.00","1,695.00","1,608.00","1,760.00"
Notes Payable/Short Term Debt,0.00,0.00,"3,582.00","2,817.00","3,395.00"
Current Port. of LT Debt/Capital Leases,"5,023.00","5,591.00","1,339.00","1,069.00","1,875.00"
"Other Current liabilities, Total","2,227.00","2,334.00","2,385.00","2,498.00","2,669.00"
Total Current Liabilities,"21,342.00","23,089.00","23,162.00","23,074.00","25,095.00"
Long Term Debt,"7,811.00","8,120.00","8,868.00","9,089.00","8,135.00"
Capital Lease Obligations,"3,787.00","4,297.00",--,--,--
Total Long Term Debt,"11,598.00","12,417.00","8,868.00","9,089.00","8,135.00"
Total Debt,"16,621.00","18,008.00","13,789.00","12,975.00","13,405.00"
Deferred Income Tax,467.00,655.00,541.00,489.00,543.00
Minority Interest,"1,502.00","1,736.00","2,117.00","2,099.00","1,582.00"
"Other Liabilities, Total","2,884.00","3,630.00","3,521.00","3,002.00","3,064.00"
Total Liabilities,"37,793.00","41,527.00","38,209.00","37,753.00","38,419.00"
"Common Stock, Total","2,044.00","2,018.00","1,973.00","1,937.00","1,891.00"
Retained Earnings (Accumulated Deficit),"9,871.00","9,333.00","8,445.00","9,031.00","9,108.00"
Unrealized Gain (Loss),(42.00),(33.00),(30.00),(24.00),(3.00)
"Other Equity, Total","(2,078.00)","(1,381.00)","(1,219.00)",(884.00),(570.00)
Total Equity,"9,795.00","9,937.00","9,169.00","10,060.00","10,426.00"
Total Liabilities & Shareholders' Equity,"47,588.00","51,464.00","47,378.00","47,813.00","48,845.00"
Total Common Shares Outstanding,808.17,797.81,779.80,762.96,746.76
"Tangible Book Value per Share, Common Eq",0.54,0.64,(0.35),0.94,0.70
"Other Current Assets, Total",46.00,15.00,30.00,67.00,--
