,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"11,181.00","11,588.00","10,648.00","11,996.00","12,137.70"
Total Revenue,"11,181.00","11,588.00","10,648.00","11,996.00","12,137.70"
"Cost of Revenue, Total","2,984.00","2,901.00","2,719.00","2,696.00","3,121.60"
Gross Profit,"8,197.00","8,687.00","7,929.00","9,300.00","9,016.10"
"Selling/General/Admin. Expenses, Total","6,322.00","6,661.00","6,466.00","7,552.00","7,424.00"
Depreciation/Amortization,837.00,827.00,443.00,557.00,520.30
Unusual Expense (Income),215.00,192.00,163.00,170.00,189.60
"Other Operating Expenses, Total",173.00,347.00,227.00,146.00,55.30
Total Operating Expense,"10,531.00","10,928.00","10,018.00","11,121.00","11,310.80"
Operating Income,650.00,660.00,630.00,875.00,826.90
"Interest Inc.(Exp.),Net-Non-Op., Total",(10.00),(149.00),(27.00),(27.00),(13.20)
"Other, Net",(41.00),(59.00),(39.00),(35.00),(42.00)
Net Income Before Taxes,599.00,452.00,564.00,813.00,771.70
Provision for Income Taxes,51.00,82.00,1.00,149.00,141.30
Net Income After Taxes,548.00,370.00,563.00,664.00,630.40
Minority Interest,(3.00),(3.00),(4.00),(64.00),(53.00)
Equity In Affiliates,5.00,47.00,1.00,1.40,2.60
Net Income Before Extra. Items,550.00,414.00,559.00,601.00,578.80
Total Extraordinary Items,0.00,"2,986.00",70.00,0.00,--
Net Income,550.00,"3,400.00",629.00,601.00,578.80
Income Available to Com Excl ExtraOrd,550.00,413.00,560.00,601.00,578.80
Income Available to Com Incl ExtraOrd,550.00,"3,399.00",630.00,601.00,578.80
Diluted Net Income,550.00,"3,399.00",630.00,601.00,578.80
Diluted Weighted Average Shares,109.00,107.67,106.03,105.46,104.27
Diluted EPS Excluding ExtraOrd Items,5.05,3.84,5.28,5.70,5.55
DPS - Common Stock Primary Issue,0.90,0.00,1.70,1.70,1.60
Diluted Normalized EPS,6.85,5.30,6.82,7.02,7.04
Total Adjustments to Net Income,(1.00),1.00,--,--,--
Dilution Adjustment,0.00,0.00,0.00,0.00,0.00
