,30-Jun-21,30-Jun-20,30-Jun-19,30-Jun-18,30-Jun-17
Net Income/Starting Line,(14.67),(14.64),(9.40),(9.59),(12.31)
Depreciation/Depletion,18.54,15.42,21.67,15.73,5.65
Non-Cash Items,2.39,5.62,2.15,2.56,3.92
Changes in Working Capital,(3.92),5.99,(6.17),0.29,5.43
Cash from Operating Activities,2.34,12.38,8.24,8.98,2.68
Capital Expenditures,(9.45),(9.75),(16.64),(13.76),(24.88)
"Other Investing Cash Flow Items, Total",0.28,0.17,2.86,(4.09),(7.45)
Cash from Investing Activities,(9.16),(9.58),(13.78),(17.85),(32.33)
Financing Cash Flow Items,(2.66),0.13,0.47,1.29,0.79
"Issuance (Retirement) of Stock, Net",0.01,0.17,(0.07),(0.07),(0.17)
"Issuance (Retirement) of Debt, Net",3.38,14.45,(4.71),(4.23),38.60
Cash from Financing Activities,0.74,14.76,(4.31),(3.00),39.21
Foreign Exchange Effects,0.09,(0.49),0.04,(0.35),(0.03)
Net Change in Cash,(5.99),17.07,(9.81),(12.22),9.54
