,30-Jun-21,30-Jun-20,30-Jun-19,30-Jun-18,30-Jun-17
Revenue,95.50,88.29,102.56,100.34,93.36
Total Revenue,95.50,88.29,102.56,100.34,93.36
"Cost of Revenue, Total",49.49,47.55,49.87,50.18,49.84
Gross Profit,46.02,40.74,52.69,50.16,43.51
"Selling/General/Admin. Expenses, Total",28.84,27.50,31.93,30.90,27.41
Depreciation/Amortization,15.97,19.35,17.33,12.15,10.85
"Interest Exp.(Inc.),Net-Operating, Total",(0.51),--,--,--,--
Unusual Expense (Income),0.38,0.60,0.12,0.11,(0.02)
"Other Operating Expenses, Total",3.67,(3.89),4.02,7.24,6.31
Total Operating Expense,97.84,91.12,103.26,100.58,94.40
Operating Income,(2.33),(2.83),(0.70),(0.24),(1.05)
"Interest Inc.(Exp.),Net-Non-Op., Total",(9.85),(6.55),(6.85),(6.50),(7.52)
"Other, Net",(0.62),(1.93),(0.18),(1.63),(0.99)
Net Income Before Taxes,(12.81),(11.31),(7.74),(8.37),(9.56)
Provision for Income Taxes,1.86,3.33,1.67,1.22,2.76
Net Income After Taxes,(14.67),(14.64),(9.40),(9.59),(12.31)
Minority Interest,0.57,0.44,0.41,0.15,0.26
Net Income Before Extra. Items,(14.10),(14.20),(8.99),(9.45),(12.05)
Net Income,(14.10),(14.20),(8.99),(9.45),(12.05)
Income Available to Com Excl ExtraOrd,(14.10),(14.20),(8.99),(9.45),(12.05)
Income Available to Com Incl ExtraOrd,(14.10),(14.20),(8.99),(9.45),(12.05)
Diluted Net Income,(14.10),(14.20),(8.99),(9.45),(12.05)
Diluted Weighted Average Shares,47.81,47.81,47.81,46.93,46.93
Diluted EPS Excluding ExtraOrd Items,(0.29),(0.30),(0.19),(0.20),(0.26)
Diluted Normalized EPS,(0.31),(0.29),(0.18),(0.20),(0.26)
Total Adjustments to Net Income,0.00,(0.00),0.00,--,--
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
