,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(23.32),(18.60),7.62,(8.55),(7.89)
Depreciation/Depletion,1.20,1.16,1.04,1.01,0.74
Non-Cash Items,2.70,(0.84),(0.53),3.21,4.01
Changes in Working Capital,(2.43),8.64,(1.82),(17.90),(9.99)
Cash from Operating Activities,(21.86),(9.66),6.31,(22.23),(13.14)
Capital Expenditures,(0.21),(2.02),(0.78),(1.98),(8.08)
"Other Investing Cash Flow Items, Total",0.00,(0.04),(0.25),0.30,0.89
Cash from Investing Activities,(0.20),(2.05),(1.03),(1.69),(7.19)
Financing Cash Flow Items,0.00,0.00,0.00,0.01,0.00
"Issuance (Retirement) of Stock, Net",0.00,0.00,0.00,0.04,0.00
"Issuance (Retirement) of Debt, Net",6.51,15.53,(0.22),0.61,6.28
Cash from Financing Activities,6.51,15.53,(0.22),0.65,6.30
Net Change in Cash,(15.55),3.82,5.06,(23.26),(14.03)
Cash Taxes Paid,0.00,0.05,0.00,0.54,--
