,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,0.84,2.14,47.39,19.47,22.49
Total Revenue,0.84,2.14,47.39,19.47,22.49
"Selling/General/Admin. Expenses, Total",0.26,0.24,0.55,0.22,7.48
Research & Development,26.32,27.87,41.05,31.60,30.21
Depreciation/Amortization,1.20,1.16,1.04,1.01,0.67
"Other Operating Expenses, Total",(5.79),(5.10),(4.96),(5.18),(7.87)
Total Operating Expense,21.99,24.16,37.68,27.65,30.49
Operating Income,(21.15),(22.02),9.71,(8.18),(8.00)
"Interest Inc.(Exp.),Net-Non-Op., Total",(2.15),0.89,2.24,(0.03),0.57
Net Income Before Taxes,(23.30),(21.57),11.76,(8.52),(7.82)
Provision for Income Taxes,0.03,(2.96),4.14,0.04,0.07
Net Income After Taxes,(23.32),(18.60),7.61,(8.55),(7.89)
Net Income Before Extra. Items,(23.32),(18.60),7.61,(8.55),(7.89)
Net Income,(23.32),(18.60),7.61,(8.55),(7.89)
Income Available to Com Excl ExtraOrd,(23.32),(18.60),7.62,(8.55),(7.89)
Income Available to Com Incl ExtraOrd,(23.32),(18.60),7.62,(8.55),(7.89)
Diluted Net Income,(23.32),(18.60),7.62,(8.55),(7.89)
Diluted Weighted Average Shares,6.97,6.94,6.92,6.86,6.85
Diluted EPS Excluding ExtraOrd Items,(3.34),(2.68),1.10,(1.25),(1.15)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(4.00),(2.68),1.10,(1.25),(1.15)
"Other, Net",(0.44),(0.19),(0.30),(0.39),(0.39)
Total Adjustments to Net Income,0.00,0.00,0.00,--,--
Minority Interest,0.00,--,--,--,--
