,30-Jun-21,31-Dec-20
Cash & Equivalents,20.66,28.11
Cash and Short Term Investments,20.66,28.11
"Accounts Receivable - Trade, Net",0.18,0.00
"Total Receivables, Net",3.37,7.12
Total Inventory,0.49,0.57
Prepaid Expenses,0.80,0.55
"Other Current Assets, Total",0.08,0.09
Total Current Assets,25.39,36.45
"Property/Plant/Equipment, Total - Gross",15.75,15.59
"Accumulated Depreciation, Total",(7.54),(7.05)
"Property/Plant/Equipment, Total - Net",8.21,8.53
"Intangibles, Net",0.04,0.05
Long Term Investments,0.14,0.14
"Other Long Term Assets, Total",(0.00),--
Total Assets,33.78,45.17
Accounts Payable,3.87,4.94
Accrued Expenses,2.53,2.32
Notes Payable/Short Term Debt,0.86,0.93
Current Port. of LT Debt/Capital Leases,2.60,2.09
"Other Current liabilities, Total",0.55,0.45
Total Current Liabilities,10.41,10.72
Long Term Debt,24.64,18.51
Capital Lease Obligations,0.02,0.06
Total Long Term Debt,24.65,18.57
Total Debt,28.11,21.58
"Other Liabilities, Total",2.88,9.54
Total Liabilities,37.94,38.83
"Common Stock, Total",0.70,0.70
Additional Paid-In Capital,78.66,78.73
Retained Earnings (Accumulated Deficit),(83.50),(73.07)
"Other Equity, Total",(0.02),(0.03)
Total Equity,(4.16),6.33
Total Liabilities & Shareholders' Equity,33.78,45.17
Total Common Shares Outstanding,6.99,6.99
"Tangible Book Value per Share, Common Eq",(0.60),0.90
