,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"1,627.91","1,949.43","1,949.76","2,041.41","2,025.77"
Total Revenue,"1,627.91","1,949.43","1,949.76","2,041.41","2,025.77"
"Cost of Revenue, Total",845.39,971.97,935.49,971.88,960.44
Gross Profit,782.52,977.46,"1,014.27","1,069.53","1,065.33"
"Selling/General/Admin. Expenses, Total",453.13,475.54,496.84,503.07,497.89
Research & Development,25.70,--,--,--,--
Unusual Expense (Income),30.63,79.80,89.13,24.61,4.76
"Other Operating Expenses, Total",116.30,169.41,169.53,166.99,159.30
Total Operating Expense,"1,471.16","1,696.71","1,691.00","1,666.55","1,622.38"
Operating Income,156.75,252.72,258.77,374.85,403.39
"Interest Inc.(Exp.),Net-Non-Op., Total",(1.42),(1.28),2.82,21.84,4.80
"Other, Net",0.00,(0.00),0.00,(0.00),0.00
Net Income Before Taxes,155.34,251.45,261.59,396.69,408.19
Provision for Income Taxes,61.61,75.35,88.24,102.57,122.65
Net Income After Taxes,93.72,176.10,173.35,294.12,285.54
Net Income Before Extra. Items,93.72,176.10,173.35,294.12,285.54
Net Income,93.72,176.10,173.35,287.34,249.69
Income Available to Com Excl ExtraOrd,93.72,176.10,173.35,294.12,285.54
Income Available to Com Incl ExtraOrd,93.72,176.10,173.35,287.34,249.69
Diluted Net Income,93.72,176.10,173.35,287.34,249.69
Diluted Weighted Average Shares,45.12,45.06,45.60,46.48,46.90
Diluted EPS Excluding ExtraOrd Items,2.08,3.91,3.80,6.33,6.09
DPS - Common Stock Primary Issue,1.80,2.45,3.45,3.45,3.45
Diluted Normalized EPS,3.07,5.15,5.10,6.72,6.36
Minority Interest,0.00,0.00,0.00,(1.44),--
Total Extraordinary Items,0.00,(6.78),(35.85),5.84,--
Dilution Adjustment,0.00,0.00,0.00,0.00,--
Total Adjustments to Net Income,(0.00),(0.00),--,--,--
