,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,426.38,417.76,400.58,353.57,326.40
Total Revenue,426.38,417.76,400.58,353.57,326.40
"Cost of Revenue, Total",86.22,76.54,81.05,77.40,69.41
Gross Profit,340.17,341.22,319.53,276.17,256.99
"Selling/General/Admin. Expenses, Total",292.82,292.42,277.20,241.90,224.54
Depreciation/Amortization,7.63,7.41,2.01,1.83,1.77
Unusual Expense (Income),1.46,1.46,0.91,1.37,1.25
"Other Operating Expenses, Total",(0.38),0.08,(0.11),(2.60),(0.60)
Total Operating Expense,387.74,377.90,361.06,319.89,296.37
Operating Income,38.64,39.85,39.52,33.68,30.03
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.42),(0.31),(0.27),(0.09),(0.07)
Net Income Before Taxes,38.22,39.54,39.25,33.58,29.96
Provision for Income Taxes,12.04,13.14,11.92,9.65,8.68
Net Income After Taxes,26.19,26.41,27.33,23.94,21.27
Minority Interest,(0.05),0.00,(0.14),--,--
Net Income Before Extra. Items,26.13,26.41,27.33,23.94,21.27
Net Income,26.13,26.41,27.33,23.94,21.27
Income Available to Com Excl ExtraOrd,26.13,26.41,27.33,23.94,21.27
Income Available to Com Incl ExtraOrd,26.13,26.41,27.33,23.94,21.27
Dilution Adjustment,(0.04),0.02,0.04,(0.02),0.06
Diluted Net Income,26.10,26.41,27.35,23.98,21.26
Diluted Weighted Average Shares,13.25,13.27,13.21,13.18,13.12
Diluted EPS Excluding ExtraOrd Items,1.97,1.99,2.07,1.82,1.62
DPS - Common Stock Primary Issue,0.66,0.60,0.60,0.47,0.41
Diluted Normalized EPS,2.05,2.06,2.12,1.89,1.69
