,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,51.88,23.41,19.52,16.44,23.67
Cash & Equivalents,0.58,1.06,0.00,0.22,0.47
Cash and Short Term Investments,52.46,24.47,19.52,16.66,24.15
"Accounts Receivable - Trade, Net",134.58,144.31,136.41,117.68,96.69
"Total Receivables, Net",152.29,167.05,158.51,140.14,113.85
Total Inventory,0.52,0.41,0.38,0.35,0.08
Prepaid Expenses,15.79,14.47,13.79,12.52,9.84
Total Current Assets,221.05,206.40,192.20,169.67,147.91
"Property/Plant/Equipment, Total - Gross",48.42,47.91,17.96,16.29,14.25
"Accumulated Depreciation, Total",(24.64),(19.34),(12.67),(11.39),(10.02)
"Property/Plant/Equipment, Total - Net",23.78,28.57,5.28,4.91,4.23
"Goodwill, Net",131.31,131.41,124.10,124.10,84.05
"Intangibles, Net",0.77,0.83,0.68,0.73,23.54
Long Term Investments,2.26,2.66,2.31,1.92,1.86
"Other Long Term Assets, Total",2.59,3.07,2.13,1.65,1.68
Total Assets,381.76,372.95,326.70,302.97,263.27
Accounts Payable,30.57,30.58,26.53,26.93,23.67
Accrued Expenses,95.94,96.23,87.66,82.17,65.87
Notes Payable/Short Term Debt,0.26,0.34,0.15,0.17,0.00
Current Port. of LT Debt/Capital Leases,8.89,12.22,8.67,10.23,9.20
"Other Current liabilities, Total",18.51,19.17,22.45,22.28,19.87
Total Current Liabilities,154.17,158.54,145.46,141.78,118.60
Long Term Debt,3.91,5.70,10.49,11.83,10.51
Capital Lease Obligations,13.76,17.82,--,--,--
Total Long Term Debt,17.67,23.52,10.49,11.83,10.51
Total Debt,26.82,36.08,19.31,22.23,19.71
Deferred Income Tax,0.00,0.01,0.01,0.00,0.03
Minority Interest,0.14,0.09,0.00,0.00,0.00
"Other Liabilities, Total",7.02,6.62,5.33,5.50,8.17
Total Liabilities,179.01,188.78,161.29,159.11,137.31
"Common Stock, Total",6.60,6.60,6.57,6.54,6.52
Additional Paid-In Capital,170.02,151.16,131.52,113.38,98.17
Retained Earnings (Accumulated Deficit),26.13,26.41,27.33,23.94,21.27
Total Equity,202.75,184.17,165.41,143.86,125.97
Total Liabilities & Shareholders' Equity,381.76,372.95,326.70,302.97,263.27
Total Common Shares Outstanding,13.20,13.19,13.13,13.08,13.03
"Tangible Book Value per Share, Common Eq",5.36,3.94,3.09,1.46,1.41
