,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,26.19,26.41,27.33,23.94,21.27
Depreciation/Depletion,7.30,6.86,1.44,1.36,2.05
Non-Cash Items,13.99,15.28,13.89,11.16,9.62
Cash Taxes Paid,9.65,15.38,10.42,9.79,9.08
Cash Interest Paid,0.59,0.73,0.48,0.36,0.45
Changes in Working Capital,(0.21),(13.69),(25.27),(23.10),(16.52)
Cash from Operating Activities,47.27,34.86,17.39,13.36,16.42
Capital Expenditures,(1.02),(1.94),(2.09),(2.18),(2.42)
"Other Investing Cash Flow Items, Total",0.31,(6.72),(0.28),(11.27),(2.04)
Cash from Investing Activities,(0.72),(8.66),(2.36),(13.45),(4.45)
Financing Cash Flow Items,(0.59),(0.73),(0.48),(0.36),(0.45)
Total Cash Dividends Paid,(7.92),(8.70),(8.90),(9.57),(4.81)
"Issuance (Retirement) of Debt, Net",(9.95),(12.04),(2.79),2.35,(4.24)
Cash from Financing Activities,(18.45),(21.47),(12.14),(7.55),(9.39)
Foreign Exchange Effects,(0.03),0.03,(0.00),(0.01),(0.02)
Net Change in Cash,28.07,4.76,2.88,(7.65),2.56
"Issuance (Retirement) of Stock, Net",0.00,0.03,0.03,0.11,0.09
