,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,269.70,603.30,544.40,503.20,524.00
Depreciation/Depletion,362.90,305.20,200.30,203.70,202.40
Non-Cash Items,188.80,121.50,113.20,103.50,119.00
Cash Taxes Paid,161.30,192.40,176.50,169.70,213.80
Cash Interest Paid,86.60,79.80,83.00,98.20,86.00
Changes in Working Capital,(12.30),(209.60),(172.40),(229.00),(251.00)
Cash from Operating Activities,809.10,820.40,685.50,581.40,594.40
Capital Expenditures,(98.40),(127.90),(130.90),(142.30),(156.60)
"Other Investing Cash Flow Items, Total",0.90,(66.30),(144.00),(169.80),(168.30)
Cash from Investing Activities,(97.50),(194.20),(274.90),(312.10),(324.90)
Financing Cash Flow Items,(86.60),(79.80),(83.00),(98.50),(86.00)
Total Cash Dividends Paid,(31.80),(97.30),(277.70),(295.40),(255.10)
"Issuance (Retirement) of Stock, Net",11.50,17.60,(28.30),(33.40),(41.80)
"Issuance (Retirement) of Debt, Net",(453.80),(34.10),667.00,(547.80),693.30
Cash from Financing Activities,(560.70),(193.60),278.00,(975.10),310.40
Foreign Exchange Effects,(29.60),(1.50),(8.50),(27.70),(2.60)
Net Change in Cash,121.30,431.10,680.10,(733.50),577.30
