,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Revenue,35.22,24.14,44.96,19.38,17.86
Total Revenue,35.22,24.14,44.96,19.38,17.86
"Cost of Revenue, Total",3.08,2.98,2.78,2.70,2.76
Gross Profit,32.14,21.16,42.18,16.68,15.10
"Selling/General/Admin. Expenses, Total",11.39,10.84,15.41,6.29,5.94
Depreciation/Amortization,0.87,0.85,0.77,0.73,0.75
"Interest Exp.(Inc.),Net-Operating, Total",0.01,0.02,0.01,0.02,0.01
Total Operating Expense,15.35,14.70,18.97,9.75,9.42
Operating Income,19.87,9.45,25.99,9.63,8.44
"Other, Net",(0.00),(0.00),0.00,0.00,0.00
Net Income Before Taxes,19.87,9.45,25.99,9.63,8.44
Provision for Income Taxes,3.03,0.03,0.31,(0.24),(0.03)
Net Income After Taxes,16.84,9.41,25.68,9.87,8.47
Minority Interest,0.00,0.00,0.00,0.00,0.00
Net Income Before Extra. Items,16.84,9.41,25.68,9.87,8.47
Net Income,16.84,9.41,25.68,9.87,8.47
Income Available to Com Excl ExtraOrd,16.84,9.41,25.68,9.87,8.47
Income Available to Com Incl ExtraOrd,16.84,9.41,25.68,9.87,8.47
Diluted Net Income,16.84,9.41,25.68,9.87,8.47
Diluted Weighted Average Shares,58.51,58.51,58.51,58.51,58.51
Diluted EPS Excluding ExtraOrd Items,0.29,0.16,0.44,0.17,0.14
DPS - Common Stock Primary Issue,0.20,0.28,0.20,0.13,0.00
Diluted Normalized EPS,0.29,0.16,0.44,0.17,0.14
"Other Operating Expenses, Total",0.00,0.00,0.00,(0.04),--
