,30-Jun-21,31-Dec-20,30-Jun-20
Revenue,225.46,236.61,201.99
Total Revenue,225.46,236.61,201.99
"Cost of Revenue, Total",145.70,152.60,142.18
Gross Profit,79.75,84.01,59.81
"Selling/General/Admin. Expenses, Total",70.58,62.01,63.97
Depreciation/Amortization,15.81,16.58,14.35
"Interest Exp.(Inc.),Net-Operating, Total",(1.21),1.02,(1.31)
Unusual Expense (Income),(0.02),(0.03),0.05
"Other Operating Expenses, Total",(2.92),(3.05),(2.92)
Total Operating Expense,227.94,229.13,216.32
Operating Income,(2.49),7.48,(14.33)
"Interest Inc.(Exp.),Net-Non-Op., Total",4.54,(2.04),1.03
"Other, Net",(1.00),(8.59),(2.68)
Net Income Before Taxes,1.06,(3.16),(15.98)
Provision for Income Taxes,2.50,0.01,0.30
Net Income After Taxes,(1.44),(3.16),(16.28)
Minority Interest,(0.11),(0.24),0.64
Net Income Before Extra. Items,(1.55),(3.41),(15.64)
Net Income,(1.55),(3.41),(15.64)
Income Available to Com Excl ExtraOrd,(1.55),(3.41),(15.64)
Income Available to Com Incl ExtraOrd,(1.55),(3.41),(15.64)
Diluted Net Income,(1.55),(3.41),(15.64)
Diluted Weighted Average Shares,20.10,20.10,20.10
Diluted EPS Excluding ExtraOrd Items,(0.08),(0.17),(0.78)
DPS - Common Stock Primary Issue,0.00,0.00,0.00
Diluted Normalized EPS,(0.08),(0.17),(0.78)
Total Adjustments to Net Income,(0.00),0.00,--
