,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,53.34,0.10,36.94,45.42,27.16
Short Term Investments,0.08,47.72,1.30,0.16,0.88
Cash and Short Term Investments,53.41,47.82,38.25,45.58,28.04
"Accounts Receivable - Trade, Net",141.36,140.22,150.26,125.07,118.38
"Total Receivables, Net",163.44,163.41,179.87,143.82,130.98
Total Inventory,149.56,161.14,136.05,108.90,93.78
Total Current Assets,366.42,372.37,354.17,298.30,252.79
"Property/Plant/Equipment, Total - Gross",181.89,182.38,132.25,106.46,98.40
"Accumulated Depreciation, Total",(104.46),(98.51),(77.04),(73.13),(69.31)
"Property/Plant/Equipment, Total - Net",77.43,83.87,55.21,33.33,29.09
"Goodwill, Net",24.15,24.15,24.15,24.53,21.67
"Intangibles, Net",61.10,60.88,55.88,47.60,34.53
Long Term Investments,2.53,1.95,1.81,2.19,2.42
"Other Long Term Assets, Total",25.07,23.58,24.65,23.33,22.62
Total Assets,556.70,566.79,515.87,429.27,363.12
Accounts Payable,69.89,85.28,79.59,55.47,52.35
Accrued Expenses,29.14,32.89,35.50,26.20,27.66
Notes Payable/Short Term Debt,45.51,60.41,47.03,28.97,36.00
Current Port. of LT Debt/Capital Leases,52.41,46.23,79.52,2.36,25.50
"Other Current liabilities, Total",69.67,52.68,48.64,78.32,23.04
Total Current Liabilities,266.62,277.49,290.28,191.32,164.55
Long Term Debt,145.03,119.08,74.62,94.62,56.51
Capital Lease Obligations,13.27,14.82,4.44,2.94,3.97
Total Long Term Debt,158.30,133.90,79.05,97.56,60.47
Total Debt,256.22,240.54,205.60,128.89,121.97
Deferred Income Tax,4.19,3.93,3.81,3.63,3.79
Minority Interest,0.31,0.80,0.72,1.48,1.71
"Other Liabilities, Total",11.51,11.08,9.91,9.32,9.08
Total Liabilities,440.93,427.20,383.77,303.30,239.59
"Common Stock, Total",15.08,15.08,15.08,15.08,15.08
Additional Paid-In Capital,17.56,17.56,17.56,17.56,17.56
Retained Earnings (Accumulated Deficit),87.66,109.71,103.47,96.70,91.44
Treasury Stock - Common,(0.16),(0.16),(0.16),(0.16),(0.16)
Unrealized Gain (Loss),(4.36),(2.60),(3.84),(3.20),(0.39)
"Other Equity, Total",0.00,(0.00),(0.00),(0.00),(0.00)
Total Equity,115.77,139.59,132.10,125.97,123.53
Total Liabilities & Shareholders' Equity,556.70,566.79,515.87,429.27,363.12
Total Common Shares Outstanding,20.10,20.10,20.10,20.10,20.10
"Tangible Book Value per Share, Common Eq",1.52,2.71,2.59,2.68,3.35
"Other Current Assets, Total",0.00,0.00,0.00,(0.00),--
