,30-Jun-21,31-Dec-20
Revenue,267.69,256.01
Total Revenue,267.69,256.01
"Cost of Revenue, Total",86.63,63.71
Gross Profit,181.06,192.31
"Selling/General/Admin. Expenses, Total",28.89,32.31
Depreciation/Amortization,40.98,42.76
"Interest Exp.(Inc.),Net-Operating, Total",(1.40),(1.17)
"Other Operating Expenses, Total",57.10,56.07
Total Operating Expense,212.20,193.67
Operating Income,55.49,62.34
"Interest Inc.(Exp.),Net-Non-Op., Total",(15.83),(15.15)
"Other, Net",(0.03),(0.20)
Net Income Before Taxes,39.63,46.99
Provision for Income Taxes,10.74,11.75
Net Income After Taxes,28.88,35.24
Minority Interest,(5.38),(4.28)
Net Income Before Extra. Items,23.50,30.96
Net Income,23.50,30.96
Total Adjustments to Net Income,(0.00),(0.00)
Income Available to Com Excl ExtraOrd,23.50,30.96
Income Available to Com Incl ExtraOrd,23.50,30.96
Diluted Net Income,23.50,30.96
Diluted Weighted Average Shares,32.17,32.88
Diluted EPS Excluding ExtraOrd Items,0.73,0.94
DPS - Common Stock Primary Issue,0.00,0.80
Diluted Normalized EPS,0.73,0.94
