,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"2,030.00","2,028.00","2,440.00","2,559.00","1,827.00"
Depreciation/Depletion,"1,452.00","1,386.00","1,601.00",974.00,786.00
Deferred Taxes,(37.00),40.00,(135.00),(353.00),(65.00)
Non-Cash Items,(258.00),293.00,(748.00),(178.00),66.00
Cash Taxes Paid,753.00,774.00,556.00,"1,116.00",891.00
Cash Interest Paid,219.00,234.00,232.00,186.00,148.00
Changes in Working Capital,(220.00),(303.00),(47.00),(45.00),39.00
Cash from Operating Activities,"2,967.00","3,444.00","3,111.00","2,957.00","2,653.00"
Capital Expenditures,(962.00),(951.00),(941.00),(969.00),(925.00)
"Other Investing Cash Flow Items, Total",352.00,(57.00),"1,267.00","(10,468.00)",77.00
Cash from Investing Activities,(610.00),"(1,008.00)",326.00,"(11,437.00)",(848.00)
Financing Cash Flow Items,(271.00),346.00,"(1,037.00)","9,314.00","(10,866.00)"
Total Cash Dividends Paid,"(1,363.00)","(1,256.00)",(431.00),(279.00),(985.00)
"Issuance (Retirement) of Stock, Net",30.00,55.00,47.00,60.00,78.00
"Issuance (Retirement) of Debt, Net",(756.00),"(1,545.00)","(1,830.00)",(806.00),"10,157.00"
Cash from Financing Activities,"(2,360.00)","(2,400.00)","(3,251.00)","8,289.00","(1,616.00)"
Foreign Exchange Effects,(48.00),(231.00),14.00,272.00,(151.00)
Net Change in Cash,(51.00),(195.00),200.00,81.00,38.00
