,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,571.00,844.00,930.00,872.00,(520.00)
Depreciation/Depletion,"1,180.00",999.00,726.00,349.00,145.00
Non-Cash Items,459.00,452.00,459.00,497.00,"2,022.00"
Cash Taxes Paid,293.00,349.00,328.00,264.00,257.00
Cash Interest Paid,261.00,173.00,127.00,90.00,106.00
Changes in Working Capital,756.00,47.00,(173.00),(193.00),(675.00)
Cash from Operating Activities,"2,966.00","2,342.00","1,942.00","1,525.00","1,072.00"
Capital Expenditures,(167.00),(232.00),(207.00),(136.00),(173.00)
"Other Investing Cash Flow Items, Total",(142.00),"(4,028.00)",(241.00),(281.00),(238.00)
Cash from Investing Activities,(309.00),"(4,260.00)",(448.00),(417.00),(411.00)
Financing Cash Flow Items,(210.00),(118.00),(92.00),(83.00),(64.00)
Total Cash Dividends Paid,(102.00),(285.00),(210.00),(170.00),(193.00)
"Issuance (Retirement) of Stock, Net",8.00,7.00,9.00,(291.00),24.00
"Issuance (Retirement) of Debt, Net","(1,684.00)","2,525.00",(522.00),(8.00),(4.00)
Cash from Financing Activities,"(1,988.00)","2,129.00",(815.00),(552.00),(237.00)
Foreign Exchange Effects,(379.00),4.00,133.00,(379.00),126.00
Net Change in Cash,290.00,215.00,812.00,177.00,550.00
Amortization,100.00,106.00,--,--,--
