,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"10,788.00","11,001.00","9,951.00","10,246.00","9,733.00"
Total Revenue,"10,788.00","11,001.00","9,951.00","10,246.00","9,733.00"
"Selling/General/Admin. Expenses, Total","6,242.00","6,073.00","5,747.00","5,977.00","6,557.00"
Depreciation/Amortization,939.00,790.00,595.00,234.00,245.00
Unusual Expense (Income),238.00,189.00,151.00,115.00,"1,431.00"
"Other Operating Expenses, Total","2,386.00","2,682.00","2,155.00","2,604.00","1,491.00"
Total Operating Expense,"9,805.00","9,734.00","8,648.00","8,930.00","9,724.00"
Operating Income,983.00,"1,267.00","1,303.00","1,316.00",9.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(198.00),(97.00),(73.00),(52.00),(64.00)
"Other, Net",(17.00),(16.00),(11.00),(75.00),(118.00)
Net Income Before Taxes,768.00,"1,154.00","1,219.00","1,189.00",(173.00)
Provision for Income Taxes,196.00,305.00,285.00,312.00,342.00
Net Income After Taxes,572.00,849.00,934.00,877.00,(515.00)
Minority Interest,5.00,(3.00),(11.00),(10.00),(7.00)
Equity In Affiliates,(1.00),(5.00),(4.00),(5.00),(5.00)
Net Income Before Extra. Items,576.00,841.00,919.00,862.00,(527.00)
Net Income,576.00,841.00,919.00,862.00,(527.00)
Income Available to Com Excl ExtraOrd,576.00,841.00,919.00,862.00,(527.00)
Income Available to Com Incl ExtraOrd,576.00,841.00,919.00,862.00,(527.00)
Diluted Net Income,576.00,841.00,919.49,862.72,(527.00)
Diluted Weighted Average Shares,241.93,236.61,234.56,230.67,223.50
Diluted EPS Excluding ExtraOrd Items,2.38,3.55,3.92,3.74,(2.36)
DPS - Common Stock Primary Issue,2.00,1.15,2.12,2.00,1.85
Diluted Normalized EPS,3.11,4.14,4.41,4.11,1.80
Dilution Adjustment,0.49,0.72,0.81,--,--
