,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"2,331.93","2,623.99","2,269.89","1,984.69","1,748.31"
Total Revenue,"2,331.93","2,623.99","2,269.89","1,984.69","1,748.31"
"Cost of Revenue, Total",226.77,224.87,188.92,163.39,164.94
Gross Profit,"2,105.15","2,399.12","2,080.96","1,821.30","1,583.37"
"Selling/General/Admin. Expenses, Total","1,901.48","2,085.51","1,847.16","1,624.19","1,393.35"
Depreciation/Amortization,66.56,60.42,15.32,13.03,11.79
Unusual Expense (Income),19.38,21.53,6.42,12.74,18.71
"Other Operating Expenses, Total",(1.50),(6.57),(2.09),(5.27),2.13
Total Operating Expense,"2,212.68","2,385.76","2,055.73","1,808.08","1,590.92"
Operating Income,119.24,238.23,214.15,176.61,157.39
"Interest Inc.(Exp.),Net-Non-Op., Total",(6.95),(2.05),(0.06),(4.97),(1.22)
"Other, Net",21.02,(1.35),(1.40),21.14,1.12
Net Income Before Taxes,133.30,234.83,212.69,192.78,157.29
Provision for Income Taxes,36.94,77.36,61.20,50.20,49.85
Net Income After Taxes,96.37,157.46,151.49,142.58,107.44
Minority Interest,0.22,0.66,(2.74),(1.30),(0.34)
Equity In Affiliates,1.42,6.11,9.12,5.74,5.31
Net Income Before Extra. Items,98.01,164.22,157.87,147.02,112.41
Net Income,98.01,164.22,157.87,147.02,112.41
Total Adjustments to Net Income,0.00,0.00,0.00,0.00,--
Income Available to Com Excl ExtraOrd,98.01,164.23,157.87,147.03,112.41
Income Available to Com Incl ExtraOrd,98.01,164.23,157.87,147.03,112.41
Diluted Net Income,98.01,164.23,157.87,147.03,112.40
Diluted Weighted Average Shares,34.31,33.92,33.97,33.70,33.66
Diluted EPS Excluding ExtraOrd Items,2.86,4.84,4.65,4.36,3.34
DPS - Common Stock Primary Issue,1.00,0.00,1.00,1.00,1.00
Diluted Normalized EPS,3.26,5.27,4.78,4.64,3.72
Dilution Adjustment,0.00,(0.00),--,--,--
