,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17,31-Mar-16
Net Income/Starting Line,16.12,17.35,8.93,8.95,3.90
Depreciation/Depletion,28.81,23.21,13.32,9.59,9.16
Non-Cash Items,7.12,6.34,5.31,4.68,2.68
Cash Taxes Paid,2.99,1.79,1.15,0.37,0.71
Changes in Working Capital,(24.50),(24.35),(6.54),(7.60),3.62
Cash from Operating Activities,27.55,22.55,21.03,15.62,19.36
Capital Expenditures,(36.47),(30.29),(18.43),(13.99),(9.54)
"Other Investing Cash Flow Items, Total",(6.97),(13.68),3.69,5.58,2.71
Cash from Investing Activities,(43.44),(43.96),(14.75),(8.41),(6.83)
Financing Cash Flow Items,(1.35),(0.41),(0.21),(0.36),(0.49)
Total Cash Dividends Paid,(3.90),(1.90),(1.84),--,--
"Issuance (Retirement) of Stock, Net",103.02,7.24,0.01,--,--
"Issuance (Retirement) of Debt, Net",21.96,21.49,10.01,(9.43),(7.72)
Cash from Financing Activities,119.73,19.18,7.96,(2.55),(8.19)
Foreign Exchange Effects,(0.06),0.32,(0.12),(0.12),0.14
Net Change in Cash,103.77,(1.91),14.12,4.53,4.47
Cash Interest Paid,0.68,0.73,0.62,0.70,--
