,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"43,930.00","48,753.00","44,152.00","40,876.00","38,547.00"
Total Revenue,"43,930.00","48,753.00","44,152.00","40,876.00","38,547.00"
"Cost of Revenue, Total","23,669.00","25,542.00","24,184.00","22,261.00","20,932.00"
Gross Profit,"20,261.00","23,211.00","19,968.00","18,615.00","17,615.00"
"Selling/General/Admin. Expenses, Total","14,164.00","14,731.00","13,329.00","12,224.00","11,762.00"
Depreciation/Amortization,"3,171.00","3,040.00","2,242.00","2,128.00","2,003.00"
"Interest Exp.(Inc.),Net-Operating, Total",134.00,(228.00),(107.00),(170.00),(91.00)
Unusual Expense (Income),13.00,(5.00),(62.00),(27.00),(13.00)
"Other Operating Expenses, Total",320.00,9.00,(354.00),(90.00),(164.00)
Total Operating Expense,"41,471.00","43,089.00","39,232.00","36,326.00","34,429.00"
Operating Income,"2,459.00","5,664.00","4,920.00","4,550.00","4,118.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(605.00),(542.00),(415.00),(407.00),(495.00)
"Other, Net",(31.00),(80.00),(30.00),(34.00),(66.00)
Net Income Before Taxes,"1,823.00","5,042.00","4,475.00","4,109.00","3,557.00"
Provision for Income Taxes,807.00,"1,634.00","1,418.00","1,271.00","1,013.00"
Net Income After Taxes,"1,016.00","3,408.00","3,057.00","2,838.00","2,544.00"
Minority Interest,226.00,(148.00),(74.00),(90.00),(39.00)
Net Income Before Extra. Items,"1,242.00","3,260.00","2,983.00","2,748.00","2,505.00"
Net Income,"1,242.00","3,260.00","2,983.00","2,748.00","2,505.00"
Total Adjustments to Net Income,0.00,(1.00),0.00,1.00,--
Income Available to Com Excl ExtraOrd,"1,242.00","3,260.00","2,983.00","2,747.00","2,505.00"
Income Available to Com Incl ExtraOrd,"1,242.00","3,260.00","2,983.00","2,747.00","2,505.00"
Diluted Net Income,"1,242.00","3,260.00","2,983.00","2,747.00","2,505.00"
Diluted Weighted Average Shares,563.12,560.41,560.42,559.64,559.74
Diluted EPS Excluding ExtraOrd Items,2.21,5.82,5.32,4.91,4.48
DPS - Common Stock Primary Issue,2.04,2.04,2.67,2.45,2.10
Diluted Normalized EPS,2.34,5.81,5.21,4.78,4.46
Dilution Adjustment,0.00,0.00,63.87,--,--
