,30-Sep-20,30-Sep-19,30-Sep-18,30-Sep-17,30-Sep-16
Revenue,615.65,854.01,801.23,755.95,720.18
Total Revenue,615.65,854.01,801.23,755.95,720.18
"Cost of Revenue, Total",85.90,107.98,103.83,88.66,85.75
Gross Profit,529.75,746.03,697.40,667.29,634.43
"Selling/General/Admin. Expenses, Total",274.06,325.94,307.16,288.19,279.43
Depreciation/Amortization,148.45,127.14,121.25,113.06,111.67
Unusual Expense (Income),55.79,--,--,--,--
"Other Operating Expenses, Total",161.91,187.84,171.98,167.12,170.25
Total Operating Expense,726.11,748.91,704.23,657.03,647.09
Operating Income,(110.46),105.11,97.00,98.92,73.09
"Interest Inc.(Exp.),Net-Non-Op., Total",(12.86),(8.27),(8.24),(16.04),(15.60)
Gain (Loss) on Sale of Assets,(1.41),--,--,--,--
"Other, Net",0.76,(2.05),(4.02),(3.00),(3.71)
Net Income Before Taxes,(123.97),94.78,84.74,79.88,53.78
Provision for Income Taxes,(12.83),32.25,29.74,19.94,18.21
Net Income After Taxes,(111.14),62.54,55.00,59.94,35.57
Minority Interest,6.07,(9.16),(5.96),(8.58),(6.89)
Equity In Affiliates,0.73,8.86,4.47,4.70,4.78
Net Income Before Extra. Items,(104.35),62.24,53.51,56.06,33.46
Total Extraordinary Items,0.00,0.00,3.69,(24.74),(0.03)
Net Income,(104.35),62.24,57.20,31.32,33.44
Total Adjustments to Net Income,0.00,--,--,--,--
Income Available to Com Excl ExtraOrd,(104.35),62.24,53.51,56.06,33.46
Income Available to Com Incl ExtraOrd,(104.35),62.24,57.20,31.32,33.44
Diluted Net Income,(104.35),62.24,57.20,31.32,33.44
Diluted Weighted Average Shares,34.55,34.65,34.42,34.49,34.28
Diluted EPS Excluding ExtraOrd Items,(3.02),1.80,1.55,1.63,0.98
DPS - Common Stock Primary Issue,0.00,0.50,0.46,0.35,0.28
Diluted Normalized EPS,(1.94),1.80,1.56,1.63,0.98
