,31-Mar-21,30-Sep-20
Cash & Equivalents,22.37,16.47
Short Term Investments,0.06,0.17
Cash and Short Term Investments,22.43,16.64
"Accounts Receivable - Trade, Net",155.89,79.73
"Total Receivables, Net",174.42,100.60
Total Inventory,25.17,23.17
"Other Current Assets, Total",0.00,--
Total Current Assets,222.02,140.41
"Property/Plant/Equipment, Total - Gross","2,811.67","2,769.38"
"Accumulated Depreciation, Total","(1,520.49)","(1,470.83)"
"Property/Plant/Equipment, Total - Net","1,291.18","1,298.55"
"Goodwill, Net",216.30,271.57
"Intangibles, Net",76.77,76.94
Long Term Investments,89.27,122.02
Note Receivable - Long Term,45.32,--
"Other Long Term Assets, Total",27.21,80.27
Total Assets,"1,968.07","1,989.77"
Accounts Payable,165.41,182.61
Accrued Expenses,10.14,3.09
Notes Payable/Short Term Debt,2.55,22.53
Current Port. of LT Debt/Capital Leases,50.37,116.76
"Other Current liabilities, Total",72.68,76.13
Total Current Liabilities,301.15,401.13
Long Term Debt,773.78,528.96
Capital Lease Obligations,162.54,165.80
Total Long Term Debt,936.32,694.75
Total Debt,989.23,834.05
Deferred Income Tax,10.30,22.07
Minority Interest,39.68,49.48
"Other Liabilities, Total",69.30,81.89
Total Liabilities,"1,356.74","1,249.32"
"Common Stock, Total",186.83,186.83
Additional Paid-In Capital,260.09,260.09
Retained Earnings (Accumulated Deficit),169.43,298.38
Unrealized Gain (Loss),(2.78),(3.24)
"Other Equity, Total",(2.23),(1.60)
Total Equity,611.33,740.45
Total Liabilities & Shareholders' Equity,"1,968.07","1,989.77"
Total Common Shares Outstanding,34.53,34.51
"Tangible Book Value per Share, Common Eq",9.22,11.36
