COMPANY;NAME;EMPLOYEES;SUMMARY;PROFIT_MARGINS;NET_INCOME;REVENUE_GROWTH;TOTAL_REVENUE;OPERATING_MARGIN;DEBT_TO_EQUITY;FOREWARD_PE;PE;REVENUE_PER_SHARE;DIVIDEND_YIELD;NBR_SHARES;MARKET_CAP;TOTAL_DEBT
III.L;3i Group plc;236.0;"3i Group plc is a private equity firm specializing in mature companies, growth capital, middle markets, infrastructure, and management leveraged buyouts and buy-ins. The firm also provides infrastructure financing and debt management. For debt management, it invests in senior and mezzanine corporate debt in typically large and private companies in United Kingdom, Europe, Asia, and North America. It makes private equity investments in business and technology services, financial services, consumer, healthcare, consumption and distribution, media and telecom, renewable energy, wind, and industrial sector. Within business and technology services, the firm seeks to invest in sub sectors such as testing, inspection and certification; BPO and consultancy; human capital including staffing, governance, risk and compliance, services to pharmaceutical companies, vertical application software, education and training businesses; facilities management; support services to industrial sectors such as oil and gas and utilities; human resources outsourcing and advising; recruitment; logistics and infrastructure support services including distribution, waste, and rental. In the consumer sector, it focuses on polarization, health and wellness, ageing population, millennials, consumer goods; e-commerce; retail; food and drinks; and leisure. In the healthcare sector, the firm focuses on pharmaceuticals and biotechnology including specialty pharma, generics / OTC, drug delivery, and animal health; healthcare Services including activities such as elderly and specialty care, including caring for people in their own homes, in hospital and in community facilities, as well as operational services such as outsourced support, clinical services and B2B contract services; medical devices and technology including devices, medical equipment and consumables, diagnostics, and healthcare IT. In the industrial sector, it focuses on automotive, chemicals, construction and building products, electronics and electrical components, flow control and filtration, life science manufacturing, mobility, packaging, software, oil, gas and power. Through 3i BIFM Limited and 3i Infrastructure plc the firm makes infrastructure investments where it focuses principally on the utilities including energy transmission and storage, electricity and gas distribution, water, power generation, and communication network; transportation including airports, ports, ferries, toll roads, and rail; and social infrastructure sector including primary and secondary PFI, public private partnerships, healthcare, education, and government accommodation. In infrastructure it invests primarily in utilities, transportation and social infrastructure in the United Kingdom, France, Italy, Europe, and Ireland. The firm prefers to invest in companies across Europe, France, United States, South America, and Asia. It seeks to make new investments in Northern Europe and North America. The firm typically invests between 5 million ($5.59125 million) and 300 million ($335.475 million) in companies with an enterprise value typically between 100 million ($111.825 million) and 500 million ($559.125 million) and sales value between 80 million ($89.46 million) and 1500 million ($1677.38 million). It seeks to take either majority or minority stakes. It seeks to take a board seat in its portfolio companies with regards to infrastructure investments. The firm invests through a combination of third-party and proprietary capital. It invests through its personal capital. 3i Group plc was founded in 1945 and is based in London, United Kingdom with additional offices across Europe, North America, and Asia.";0.95545995;4012000000.0;1.785;4199000064.0;0.96737;7.754;0.047299005;2.7093894;4.346;0.0435;943052736.0;10924697600.0;989000000.0
MMM;3M Company;95000.0;"3M Company operates as a diversified technology company worldwide. It operates through four segments: Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; closure systems for personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment tapes, films, sound, and temperature management for transportation vehicles; premium large format graphic films for advertising and fleet signage; light management films and electronics assembly solutions; packaging and interconnection solutions; and reflective signage for highway, and vehicle safety. The Healthcare segment offers food safety indicator solutions; health care procedure coding and reimbursement software; skin, wound care, and infection prevention products and solutions; dentistry and orthodontia solutions; and filtration and purification systems. The Consumer segment provides consumer bandages, braces, supports and consumer respirators; cleaning products for the home; retail abrasives, paint accessories, car care DIY products, picture hanging, and consumer air quality solutions; and stationery products. It offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers. The company was founded in 1902 and is based in St. Paul, Minnesota.";0.15838;5596000256.0;-0.002;35333001216.0;0.21350999;117.329;11.845679;13.975239;61.241;0.0458;568552387.0;76441698304.0;17603999744.0
AOS;A. O. Smith Corporation;13700.0;"A. O. Smith Corporation manufactures and markets residential and commercial gas, heat pump and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; commercial boilers for hospitals, schools, hotels, and other large commercial buildings, as well as residential boilers for homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, on-the-go filtration bottles, point-of-use carbon, and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, electric wall-hung, gas tankless, combi-boiler, heat pump and solar water heaters. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.";0.13587;509200000.0;0.271;3747599872.0;0.17134;18.287;14.689474;17.542427;23.602;0.0211;127683860.0;8708311040.0;330800000.0
MAERSK-B.CO;A.P. Møller - Mærsk A/S;95000.0;"A.P. Møller - Mærsk A/S operates as an integrated transport and logistics company worldwide. The company's Ocean segment engages in container shipping activities, including demurrage and detention, terminal handling, documentation and container services, and container storage, as well as transshipment services under Maersk Line, Safmarine, Sealand  A Maersk Company, Hamburg Süd, and APM Terminal brands; and sale of bunker oil. Its Logistics & Services segment offers sea and air freight forwarding, supply chain management, cold chain logistics, and custom services, services. The company's Terminals & Towage segment is involved in Gateway terminal activities, and offshore towage, salvage and related marine activities under APM Terminals brand. Its Manufacturing & Others segment engages in the production of reefer containers; anchor handling tug supply vessels and subsea support vessels, and training services to the maritime, oil and gas, offshore wind, and crane industries. The company was founded in 1904 and is based in Copenhagen, Denmark.";0.32082;22020999168.0;0.551;68639997952.0;0.34999;33.934;7.4540687;2.0766647;3636.904;0.1514;10425629.0;312970182656.0;15249999872.0
ASP.PA;;;;;;;;;;;;;;;;
A2A.MI;A2A S.p.A.;13267.0;"A2A S.p.A. engages in the production, sale, and distribution of gas and electricity, and district heating in Italy and internationally. The company generates electricity through hydroelectric, thermoelectric, photovoltaic, cogeneration, waste treatment, and wind plants with a total installed capacity of 8.9 GW; and purchases and sells electricity, gas, fuels, and environmental certificates. It also engages in the production and sale of heat produced through district heating networks; waste management activities, including collection and street sweeping, treatment, disposal, and recovery of materials and energy; and the construction and management of integrated waste disposal plants and systems. In addition, the company offers integrated water cycle management services; and technical consultancy services relating to energy efficiency certificates. Further, it is involved in the management of public lighting and traffic regulation systems, votive lamps, street lights, and water purification and sewer activities, as well as offers energy efficiency and electric mobility services. Additionally, the company provides telecommunication services, including management of fixed and mobile phone lines, and data transmission lines; management and development of infrastructures to support communications; and implementation and management of video surveillance and access control systems, as well as designs solutions and applications for creating new models of cities and territories. A2A S.p.A. is headquartered in Brescia, Italy.";0.03849;412000000.0;1.602;14784000000.0;0.03822;121.019;9.842308;7.069061;4.719;0.0674;1578138375.0;3928653568.0;5555999744.0
AAK.ST;AAK AB (publ.);4000.0;"AAK AB (publ.) develops and sells plant-based oils and fats worldwide. It offers food ingredients for the bakery, dairy, foodservice, and special nutrition industries; chocolate and confectionery, including cocoa butter alternatives, compound fats, filling fats, barrier fats, and spreads; caramel products; and functional emollients for the cosmetics industry. The company also provides fatty acids and glycerine for various applications; candle waxes; feed products; and natural emulsifiers. AAK AB (publ.) was founded in 1871 and is headquartered in Malmö, Sweden.";0.03914;1528999936.0;0.481;39065001984.0;0.06254;48.219;19.122911;27.055548;151.396;0.016;179806666.0;41432797184.0;6146999808.0
AALB.AS;Aalberts N.V.;14402.0;"Aalberts N.V. engineers mission-critical technologies. The company operates in two segments: Building Technology and Industrial Technology. The Building Technology segment develops, manufactures, and monitors hydronic flow control systems for heating and cooling to enhance the energy efficiency; and develops, designs, and manufactures integrated piping systems to distribute and regulate water or gas flows in heating, cooling, water, gas, and sprinkler systems in eco-friendly buildings and industrial niches. The Industrial Technology segment co-develops, engineers, and manufactures advanced mechatronics and technologies to regulate, measure, and control fluids under severe and critical conditions for active OEMs in semicon efficiency, sustainable transportation, and industrial niches; and offers a range of surface technologies utilizing a network of service locations local knowledge to customers active in sustainable transportation and industrial niches. It operates in Western Europe, the United States, Russia, Eastern Europe, the Asia-Pacific, the Middle East, and Africa. The company was formerly known as Aalberts Industries N.V. and changed its name to Aalberts N.V. in April 2019. Aalberts N.V. was founded in 1975 and is headquartered in Utrecht, the Netherlands.";0.12088;360100000.0;0.11;2979099904.0;0.12024;25.974;12.236421;11.7846155;26.941;0.026400002;105473513.0;4235213824.0;567200000.0
AB.PA;;;;;;;;;;;;;;;;
ABBN.SW;ABB Ltd;104720.0;ABB Ltd engages in manufacture and sale of electrification, automation, robotics, and motion products for customers in utilities, industry and transport, and infrastructure in Switzerland and internationally. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panelboards, switchgear, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Robotics & Discrete Automation segment offers industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport system, and machine vision. Its Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Process Automation segment provides process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement and analytical instrumentation, marine propulsion systems, and large turbochargers. In addition, this segment offers remote monitoring, preventive maintenance, asset performance management, emission monitoring, and cybersecurity services. It serves aluminum, automotive, buildings and infrastructure, cement, channel partners, chemical, data centers, food and beverage, process automation, life sciences, marine and ports, metals, mining, oil and gas, ports, power generation, printing, pulp and paper, railway, smart cities, water, and wind power industries. The company was founded in 1883 and is headquartered in Zurich, Switzerland.;0.16023001;4711000064.0;0.009;29009000448.0;0.13089;74.246;14.97647;11.315556;14.642;0.0315;1537704790.0;48388001792.0;10184999936.0
