,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Cost of Revenue, Total",0.99,0.00,0.00,0.00,0.02
Gross Profit,(0.99),0.00,(0.00),0.00,(0.02)
"Selling/General/Admin. Expenses, Total",2.64,2.67,3.02,2.40,2.57
Depreciation/Amortization,0.03,0.03,0.03,0.04,0.05
Unusual Expense (Income),(0.10),(0.03),(0.17),(0.12),0.05
"Other Operating Expenses, Total",13.23,20.68,11.57,13.63,14.60
Total Operating Expense,16.80,23.35,14.46,15.95,17.28
Operating Income,(16.80),(23.35),(14.46),(15.95),(17.28)
"Interest Inc.(Exp.),Net-Non-Op., Total",(1.03),(1.23),(0.96),(1.01),(0.65)
"Other, Net",(0.31),(0.13),0.00,(0.00),--
Net Income Before Taxes,(18.14),(24.70),(15.42),(16.96),(17.93)
Provision for Income Taxes,(1.61),(2.58),0.00,(0.50),(3.76)
Net Income After Taxes,(16.53),(22.13),(15.42),(16.46),(14.17)
Net Income Before Extra. Items,(16.53),(22.13),(15.42),(16.46),(14.17)
Net Income,(16.53),(22.13),(15.42),(16.46),(14.17)
Income Available to Com Excl ExtraOrd,(16.53),(22.13),(15.42),(16.46),(14.17)
Income Available to Com Incl ExtraOrd,(16.53),(22.13),(15.42),(16.46),(14.17)
Diluted Net Income,(16.53),(22.13),(15.42),(16.46),(14.17)
Diluted Weighted Average Shares,14.66,16.40,12.21,14.12,10.24
Diluted EPS Excluding ExtraOrd Items,(1.13),(1.35),(1.26),(1.17),(1.38)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(1.13),(1.35),(1.28),(1.17),(1.38)
Total Adjustments to Net Income,0.00,(0.00),--,--,--
