NAME,AGE,POSITION,APPOINTED
Philippe Pouletty,63,Chairman Of The Board,--
Hartmut J. Ehrlich,--,Chief Executive Officer,--
Didier Bruno Blondel,--,"Chief Financial Officer, Board Secretary",2017
Karl Birthistle,--,Vice President Chief Medical Officer And Vice President Clinical & Regulatory Affairs,--
Bernard Fanget,--,Vice President - Process Development And Manufacturing,--
Alexandra Pearce,--,Vice President And Head Of Regulatory Affairs,2018
Didier Scherrer,--,Vice President - Research & Development Small Molecules,--
Vincent M. Serra,--,Vice President - Research & Development Viral Vaccines,--
Pierre Courteille,--,"Vice President - Business Development, Chief Commercial Officer",--
Sophie Biguenet,--,Chief Medical Officer,2021
Joy A. Amundson,59,Director,--
Claude Bertrand,--,Director,--
Jean-Jacques Bertrand,61,Director,--
Jerome Gallot,61,Director,--
Antoine Pau,--,Director,--
Christian Pierret,--,Director,--
Jean-Paul Prieels,--,Director,--
Miguel Sieler,--,Director,--
