,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Cost of Revenue, Total",0.00,0.02,0.07,0.02,0.05
Gross Profit,(0.00),(0.02),(0.07),(0.02),(0.05)
"Selling/General/Admin. Expenses, Total",5.69,4.97,4.36,3.89,3.63
Depreciation/Amortization,0.07,0.08,0.10,0.09,0.08
Unusual Expense (Income),(0.20),(0.07),0.23,(0.16),(0.15)
"Other Operating Expenses, Total",32.25,28.23,14.58,10.16,14.49
Total Operating Expense,37.81,33.23,19.33,13.99,18.08
Operating Income,(37.81),(33.23),(19.33),(13.99),(18.08)
"Interest Inc.(Exp.),Net-Non-Op., Total",(2.11),(1.27),(0.33),0.08,0.26
"Other, Net",(0.21),(0.39),(0.13),--,--
Net Income Before Taxes,(40.13),(34.89),(19.79),(13.91),(17.83)
Provision for Income Taxes,(2.58),(4.26),(3.97),(2.69),(3.52)
Net Income After Taxes,(37.55),(30.63),(15.82),(11.22),(14.31)
Net Income Before Extra. Items,(37.55),(30.63),(15.82),(11.22),(14.31)
Net Income,(37.55),(30.63),(15.82),(11.22),(14.31)
Income Available to Com Excl ExtraOrd,(37.55),(30.63),(15.82),(11.22),(14.31)
Income Available to Com Incl ExtraOrd,(37.55),(30.63),(15.82),(11.22),(14.31)
Diluted Net Income,(37.55),(30.63),(15.82),(11.22),(14.31)
Diluted Weighted Average Shares,14.31,12.18,10.18,9.87,9.65
Diluted EPS Excluding ExtraOrd Items,(2.62),(2.51),(1.56),(1.14),(1.48)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,(2.63),(2.52),(1.54),(1.15),(1.49)
Total Adjustments to Net Income,(0.00),(0.00),0.00,--,--
