,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"4,003.00","3,055.00",227.00,"4,137.00","3,482.00"
Cash & Equivalents,221.00,519.00,"2,701.00",683.00,"1,267.00"
Short Term Investments,16.00,7.00,10.00,15.00,24.00
Cash and Short Term Investments,"4,240.00","3,581.00","2,938.00","4,835.00","4,773.00"
"Accounts Receivable - Trade, Net","8,338.00","8,714.00","8,415.00","7,700.00","6,367.00"
"Total Receivables, Net","11,142.00","11,488.00","11,108.00","10,295.00","8,923.00"
Total Inventory,"2,839.00","3,239.00","3,154.00","2,822.00","2,955.00"
Prepaid Expenses,853.00,795.00,757.00,730.00,633.00
"Other Current Assets, Total",11.00,12.00,11.00,15.00,17.00
Total Current Assets,"19,085.00","19,115.00","17,968.00","18,697.00","17,301.00"
"Property/Plant/Equipment, Total - Gross","23,824.00","23,214.00","22,333.00","19,105.00","18,950.00"
"Accumulated Depreciation, Total","(14,670.00)","(13,952.00)","(13,448.00)","(12,447.00)","(12,384.00)"
"Property/Plant/Equipment, Total - Net","9,154.00","9,262.00","8,885.00","6,658.00","6,566.00"
"Goodwill, Net","7,232.00","6,541.00","6,301.00","5,385.00","5,367.00"
"Intangibles, Net","2,694.00","2,177.00","2,198.00","2,132.00","2,180.00"
Long Term Investments,"2,071.00","2,043.00","3,169.00","3,070.00","2,952.00"
"Other Long Term Assets, Total",387.00,342.00,666.00,361.00,488.00
Total Assets,"40,623.00","39,480.00","39,187.00","36,303.00","34,854.00"
Accounts Payable,"7,200.00","7,394.00","7,423.00","7,489.00","7,140.00"
Notes Payable/Short Term Debt,187.00,220.00,238.00,209.00,168.00
Current Port. of LT Debt/Capital Leases,833.00,"1,656.00","1,558.00",736.00,152.00
"Other Current liabilities, Total","11,164.00","10,195.00","9,859.00","9,325.00","9,323.00"
Total Current Liabilities,"19,384.00","19,465.00","19,078.00","17,759.00","16,896.00"
Long Term Debt,"5,544.00","4,236.00","5,048.00","5,791.00","6,171.00"
Capital Lease Obligations,"1,374.00","1,451.00","1,326.00",9.00,12.00
Total Long Term Debt,"6,918.00","5,687.00","6,374.00","5,791.00","6,180.00"
Total Debt,"7,938.00","7,563.00","8,170.00","6,736.00","6,500.00"
Deferred Income Tax,273.00,361.00,328.00,279.00,159.00
Minority Interest,"1,463.00","1,395.00","1,385.00","1,378.00","1,280.00"
"Other Liabilities, Total","2,245.00","2,167.00","2,375.00","2,058.00","2,199.00"
Total Liabilities,"30,283.00","29,075.00","29,540.00","27,265.00","26,714.00"
"Common Stock, Total",381.00,380.00,372.00,366.00,355.00
Additional Paid-In Capital,"9,354.00","8,803.00","8,070.00","7,678.00","6,925.00"
Retained Earnings (Accumulated Deficit),696.00,"1,184.00","1,308.00","1,082.00",732.00
"Other Equity, Total",(91.00),38.00,(103.00),(88.00),128.00
Total Equity,"10,340.00","10,405.00","9,647.00","9,038.00","8,140.00"
Total Liabilities & Shareholders' Equity,"40,623.00","39,480.00","39,187.00","36,303.00","34,854.00"
Total Common Shares Outstanding,380.76,379.83,372.38,366.13,354.91
"Tangible Book Value per Share, Common Eq",1.09,4.44,3.08,4.15,1.67
Accrued Expenses,113.00,128.00,--,--,--
