,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,0.18,0.31,0.47,0.43,0.42
Total Revenue,0.18,0.31,0.47,0.43,0.42
"Cost of Revenue, Total",1.02,1.03,1.10,0.86,0.90
Gross Profit,(0.84),(0.72),(0.63),(0.43),(0.48)
Depreciation/Amortization,0.00,0.00,--,--,--
Unusual Expense (Income),1.03,(0.70),0.70,(5.69),1.05
"Other Operating Expenses, Total",0.04,0.04,0.05,0.05,0.05
Total Operating Expense,2.09,0.37,1.85,(4.78),2.00
Operating Income,(1.91),(0.06),(1.38),5.21,(1.58)
"Interest Inc.(Exp.),Net-Non-Op., Total",1.14,0.44,0.28,0.37,0.66
"Other, Net",(1.71),0.23,2.59,0.02,0.82
Net Income Before Taxes,(2.48),0.61,1.49,5.60,(0.10)
Net Income After Taxes,(2.48),0.61,1.49,5.60,(0.10)
Net Income Before Extra. Items,(2.48),0.61,1.49,5.60,(0.10)
Net Income,(2.48),0.61,1.49,5.60,(0.10)
Total Adjustments to Net Income,0.00,--,--,--,--
Income Available to Com Excl ExtraOrd,(2.48),0.61,1.49,5.60,(0.10)
Income Available to Com Incl ExtraOrd,(2.48),0.61,1.49,5.60,(0.10)
Diluted Net Income,(2.48),0.61,1.49,5.60,(0.10)
Diluted Weighted Average Shares,4.17,4.17,4.17,4.17,4.17
Diluted EPS Excluding ExtraOrd Items,(0.60),0.15,0.36,1.34,(0.02)
DPS - Common Stock Primary Issue,0.00,0.12,0.30,0.30,0.24
Diluted Normalized EPS,(0.35),(0.02),0.53,(0.02),0.23
"Selling/General/Admin. Expenses, Total",0.00,0.00,0.00,0.00,0.00
Minority Interest,(0.07),--,--,--,--
