,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Revenue,(0.00),0.32,(0.14),0.31,0.00
Total Revenue,(0.00),0.32,(0.14),0.31,0.00
"Cost of Revenue, Total",0.63,0.51,0.51,0.48,0.55
Gross Profit,(0.64),(0.19),(0.65),(0.17),(0.55)
Depreciation/Amortization,0.00,0.00,0.00,0.00,0.00
Unusual Expense (Income),1.26,1.02,0.01,(0.70),(0.00)
"Other Operating Expenses, Total",0.02,0.02,0.02,0.02,0.02
Total Operating Expense,1.92,1.55,0.54,(0.20),0.57
Operating Income,(1.92),(1.24),(0.68),0.51,(0.57)
"Interest Inc.(Exp.),Net-Non-Op., Total",0.25,0.50,0.64,0.21,0.23
"Other, Net",(0.40),(0.38),(1.33),0.81,(0.58)
Net Income Before Taxes,(2.08),(1.12),(1.36),1.53,(0.92)
Net Income After Taxes,(2.08),(1.12),(1.36),1.53,(0.92)
Net Income Before Extra. Items,(2.08),(1.12),(1.36),1.53,(0.92)
Net Income,(2.08),(1.12),(1.36),1.53,(0.92)
Total Adjustments to Net Income,0.00,0.00,--,--,--
Income Available to Com Excl ExtraOrd,(2.08),(1.12),(1.36),1.53,(0.92)
Income Available to Com Incl ExtraOrd,(2.08),(1.12),(1.36),1.53,(0.92)
Diluted Net Income,(2.08),(1.12),(1.36),1.53,(0.92)
Diluted Weighted Average Shares,4.83,3.56,4.77,4.17,4.17
Diluted EPS Excluding ExtraOrd Items,(0.43),(0.31),(0.29),0.37,(0.22)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.12,0.00
Diluted Normalized EPS,(0.17),(0.03),(0.28),0.20,(0.22)
