,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"16,090.00","15,898.00","13,932.00","12,501.00","10,819.00"
Total Revenue,"16,090.00","15,898.00","13,932.00","12,501.00","10,819.00"
"Cost of Revenue, Total","8,812.00","8,845.00","7,618.00","7,285.00","6,829.00"
Gross Profit,"7,278.00","7,053.00","6,314.00","5,216.00","3,990.00"
"Selling/General/Admin. Expenses, Total","5,685.00","5,495.00","5,022.00","4,281.00","3,395.00"
"Interest Exp.(Inc.),Net-Operating, Total",18.00,(4.00),(7.00),(146.00),(169.00)
Unusual Expense (Income),119.00,235.00,"1,185.00",63.00,(120.00)
Total Operating Expense,"14,634.00","14,571.00","13,818.00","11,483.00","9,935.00"
Operating Income,"1,456.00","1,327.00",114.00,"1,018.00",884.00
"Interest Inc.(Exp.),Net-Non-Op., Total",756.00,210.00,485.00,(24.00),662.00
Gain (Loss) on Sale of Assets,0.00,0.00,18.00,11.00,--
"Other, Net",(30.00),(60.00),(103.00),(100.00),(225.00)
Net Income Before Taxes,"2,182.00","1,477.00",514.00,894.00,"1,332.00"
Provision for Income Taxes,575.00,(140.00),357.00,(355.00),77.00
Net Income After Taxes,"1,607.00","1,617.00",157.00,"1,249.00","1,255.00"
Minority Interest,(167.00),(34.00),(30.00),(33.00),(19.00)
Net Income Before Extra. Items,"1,440.00","1,583.00",127.00,"1,216.00","1,236.00"
Total Extraordinary Items,0.00,0.00,0.00,0.00,20.00
Net Income,"1,440.00","1,583.00",127.00,"1,216.00","1,256.00"
Income Available to Com Excl ExtraOrd,"1,440.00","1,583.00",127.00,"1,216.00","1,236.00"
Income Available to Com Incl ExtraOrd,"1,440.00","1,583.00",127.00,"1,216.00","1,256.00"
Diluted Net Income,"1,440.00","1,583.00",127.00,"1,216.00","1,256.00"
Diluted Weighted Average Shares,"1,140.70","1,233.50","1,263.50","1,256.65","1,275.70"
Diluted EPS Excluding ExtraOrd Items,1.26,1.28,0.10,0.97,0.97
DPS - Common Stock Primary Issue,0.60,0.60,0.50,0.45,0.40
Diluted Normalized EPS,1.34,1.41,0.70,1.00,0.87
Dilution Adjustment,0.00,(4.81),--,--,--
"Other Operating Expenses, Total",38.00,--,--,--,--
