,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,369.00,906.00,128.00,456.00,669.00
Cash & Equivalents,"2,637.00","1,691.00","2,138.00","1,303.00",960.00
Short Term Investments,714.00,137.00,330.00,472.00,337.00
Cash and Short Term Investments,"3,720.00","2,734.00","2,596.00","2,231.00","1,966.00"
"Accounts Receivable - Trade, Net","1,465.00","1,380.00","1,277.00","1,149.00",939.00
"Total Receivables, Net","1,823.00","1,667.00","1,489.00","1,404.00","1,128.00"
Total Inventory,"1,838.00","1,693.00","1,567.00","1,335.00","1,173.00"
Prepaid Expenses,109.00,103.00,170.00,74.00,75.00
"Other Current Assets, Total",179.00,77.00,50.00,55.00,45.00
Total Current Assets,"7,669.00","6,274.00","5,872.00","5,099.00","4,387.00"
"Property/Plant/Equipment, Total - Gross","22,943.00","20,859.00","20,009.00","19,518.00","17,013.00"
"Accumulated Depreciation, Total","(18,165.00)","(16,640.00)","(16,294.00)","(16,294.00)","(14,721.00)"
"Property/Plant/Equipment, Total - Net","4,778.00","4,219.00","3,715.00","3,224.00","2,292.00"
"Goodwill, Net",312.00,158.00,103.00,105.00,98.00
"Intangibles, Net","1,294.00","1,191.00","1,220.00","1,192.00","1,111.00"
Long Term Investments,35.00,35.00,80.00,89.00,86.00
Note Receivable - Long Term,623.00,358.00,391.00,417.00,388.00
"Other Long Term Assets, Total",595.00,469.00,422.00,746.00,707.00
Total Assets,"15,306.00","12,704.00","11,803.00","10,872.00","9,069.00"
Accounts Payable,"1,166.00",950.00,981.00,893.00,620.00
Accrued Expenses,829.00,680.00,670.00,696.00,553.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,850.00,924.00,146.00,118.00,117.00
"Other Current liabilities, Total",909.00,554.00,330.00,323.00,301.00
Total Current Liabilities,"3,754.00","3,108.00","2,127.00","2,030.00","1,591.00"
Long Term Debt,"1,821.00","1,200.00","1,758.00","1,577.00","1,337.00"
Capital Lease Obligations,142.00,207.00,--,--,--
Total Long Term Debt,"1,963.00","1,407.00","1,758.00","1,577.00","1,337.00"
Total Debt,"2,813.00","2,331.00","1,904.00","1,695.00","1,454.00"
Deferred Income Tax,63.00,49.00,15.00,12.00,10.00
Minority Interest,58.00,68.00,65.00,63.00,61.00
"Other Liabilities, Total","1,218.00",986.00,776.00,"1,431.00",865.00
Total Liabilities,"7,056.00","5,618.00","4,741.00","5,113.00","3,864.00"
"Common Stock, Total","1,157.00","1,157.00","1,157.00","1,157.00","1,157.00"
Additional Paid-In Capital,"2,272.00","2,189.00","2,185.00","2,185.00","2,433.00"
Retained Earnings (Accumulated Deficit),"3,191.00","2,751.00","2,640.00","1,280.00",926.00
Treasury Stock - Common,(93.00),(328.00),(141.00),(132.00),(242.00)
ESOP Debt Guarantee,"1,160.00",987.00,838.00,713.00,647.00
Unrealized Gain (Loss),(3.00),(1.00),(3.00),(2.00),1.00
"Other Equity, Total",566.00,331.00,386.00,558.00,283.00
Total Equity,"8,250.00","7,086.00","7,062.00","5,759.00","5,205.00"
Total Liabilities & Shareholders' Equity,"15,306.00","12,704.00","11,803.00","10,872.00","9,069.00"
Total Common Shares Outstanding,905.42,891.43,898.31,896.59,883.41
"Tangible Book Value per Share, Common Eq",7.34,6.44,6.39,4.98,4.52
