,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Net Income/Starting Line,(4.66),(15.05),(8.80),(21.75),(13.02)
Depreciation/Depletion,0.34,1.15,0.52,1.07,0.57
Non-Cash Items,(1.50),0.21,1.78,3.98,2.33
Changes in Working Capital,(2.69),0.18,(1.20),1.53,(0.69)
Cash from Operating Activities,(8.50),(13.51),(7.70),(15.16),(10.81)
Capital Expenditures,(0.19),(0.37),(0.21),(0.39),(0.18)
"Other Investing Cash Flow Items, Total",(0.04),0.09,(0.03),(0.04),(0.04)
Cash from Investing Activities,(0.23),(0.28),(0.23),(0.43),(0.22)
"Issuance (Retirement) of Stock, Net",4.07,22.68,7.33,9.74,0.00
"Issuance (Retirement) of Debt, Net",1.66,6.06,5.46,(0.01),2.19
Cash from Financing Activities,5.73,28.73,12.79,9.73,2.19
Foreign Exchange Effects,(0.01),0.02,0.01,(0.01),(0.01)
Net Change in Cash,(3.01),14.96,4.86,(5.86),(8.84)
Deferred Taxes,0.00,0.00,0.00,--,--
Cash Taxes Paid,0.00,0.00,0.00,--,--
Financing Cash Flow Items,0.00,0.00,0.00,0.00,--
