,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,(15.05),(21.75),(26.06),(27.12),(27.70)
Depreciation/Depletion,1.15,1.07,0.92,0.34,0.98
Deferred Taxes,0.00,0.00,0.00,0.00,0.00
Non-Cash Items,0.21,3.98,(2.69),(1.19),(2.10)
Cash Taxes Paid,0.00,0.00,0.00,0.00,0.00
Changes in Working Capital,0.18,1.53,1.04,5.08,(4.70)
Cash from Operating Activities,(13.51),(15.16),(26.79),(22.90),(33.52)
Capital Expenditures,(0.37),(0.39),(0.48),(0.50),(0.52)
"Other Investing Cash Flow Items, Total",0.09,(0.04),(0.01),0.01,5.89
Cash from Investing Activities,(0.28),(0.43),(0.49),(0.50),5.36
Financing Cash Flow Items,0.00,0.00,0.00,0.00,0.00
"Issuance (Retirement) of Stock, Net",22.68,9.74,0.06,42.37,32.39
"Issuance (Retirement) of Debt, Net",6.06,(0.01),0.00,0.00,(0.14)
Cash from Financing Activities,28.73,9.73,0.06,42.37,32.25
Foreign Exchange Effects,0.02,(0.01),(0.01),0.03,(0.01)
Net Change in Cash,14.96,(5.86),(27.23),19.01,4.08
