,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,502.00",848.00,788.00,640.00,733.00
Cash & Equivalents,"4,921.00","2,867.00","2,797.00","4,033.00","3,205.00"
Short Term Investments,607.00,800.00,325.00,421.00,130.00
Cash and Short Term Investments,"7,030.00","4,515.00","3,910.00","5,094.00","4,068.00"
"Accounts Receivable - Trade, Net","1,248.00","2,164.00","2,191.00","2,164.00","1,868.00"
"Total Receivables, Net","1,942.00","2,709.00","2,692.00","2,608.00","2,261.00"
Total Inventory,543.00,737.00,633.00,557.00,566.00
Prepaid Expenses,220.00,320.00,339.00,309.00,316.00
"Other Current Assets, Total",160.00,258.00,225.00,490.00,396.00
Total Current Assets,"9,895.00","8,539.00","7,799.00","9,058.00","7,607.00"
"Property/Plant/Equipment, Total - Gross","30,981.00","31,128.00","30,233.00","29,463.00","23,505.00"
"Accumulated Depreciation, Total","(13,724.00)","(13,041.00)","(12,758.00)","(12,685.00)","(12,906.00)"
"Property/Plant/Equipment, Total - Net","17,257.00","18,087.00","17,475.00","16,778.00","10,599.00"
"Goodwill, Net",215.00,217.00,217.00,216.00,218.00
"Intangibles, Net","1,230.00","1,305.00","1,194.00","1,122.00","1,066.00"
Long Term Investments,"1,025.00","1,403.00","1,798.00","1,543.00","1,356.00"
Note Receivable - Long Term,4.00,3.00,11.00,33.00,44.00
"Other Long Term Assets, Total",585.00,"1,181.00","1,143.00","1,213.00","2,042.00"
Total Assets,"30,211.00","30,735.00","29,637.00","29,963.00","22,932.00"
Accounts Payable,"1,435.00","2,379.00","2,454.00","2,365.00","2,359.00"
Accrued Expenses,"1,241.00","1,095.00","1,124.00","1,308.00","1,089.00"
Notes Payable/Short Term Debt,1.00,4.00,5.00,6.00,5.00
Current Port. of LT Debt/Capital Leases,"2,050.00","1,751.00","1,750.00","2,296.00",932.00
"Other Current liabilities, Total","7,051.00","7,420.00","7,009.00","6,079.00","5,756.00"
Total Current Liabilities,"11,778.00","12,649.00","12,342.00","12,054.00","10,141.00"
Long Term Debt,"11,263.00","3,333.00","2,826.00","2,790.00","3,864.00"
Capital Lease Obligations,"5,333.00","6,087.00","6,452.00","7,069.00","3,567.00"
Total Long Term Debt,"16,596.00","9,420.00","9,278.00","9,859.00","7,431.00"
Total Debt,"18,647.00","11,175.00","11,033.00","12,161.00","8,368.00"
Deferred Income Tax,22.00,142.00,4.00,12.00,(12.00)
Minority Interest,9.00,15.00,12.00,12.00,12.00
"Other Liabilities, Total","7,233.00","6,225.00","6,215.00","5,618.00","4,076.00"
Total Liabilities,"35,638.00","28,451.00","27,851.00","27,555.00","21,648.00"
"Common Stock, Total",429.00,429.00,429.00,429.00,300.00
Additional Paid-In Capital,"4,139.00","4,139.00","4,139.00","4,139.00","2,971.00"
Retained Earnings (Accumulated Deficit),"(8,219.00)",(978.00),"(1,287.00)","(1,585.00)",311.00
Treasury Stock - Common,(25.00),(67.00),(67.00),(67.00),(67.00)
Unrealized Gain (Loss),(52.00),(37.00),(19.00),56.00,161.00
"Other Equity, Total","(1,699.00)","(1,202.00)","(1,409.00)",(564.00),"(2,392.00)"
Total Equity,"(5,427.00)","2,284.00","1,786.00","2,408.00","1,284.00"
Total Liabilities & Shareholders' Equity,"30,211.00","30,735.00","29,637.00","29,963.00","22,932.00"
Total Common Shares Outstanding,427.43,427.43,427.43,427.49,299.07
"Tangible Book Value per Share, Common Eq",(16.08),1.78,0.88,2.50,0.00
