,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"14,518.00","16,456.00","15,186.00","13,427.00","12,129.00"
Cash & Equivalents,"14,610.00","9,120.00","10,879.00","19,758.00","12,468.00"
Short Term Investments,"4,612.00","3,992.00","3,609.00","3,221.00","4,507.00"
Cash and Short Term Investments,"33,740.00","29,568.00","29,674.00","36,406.00","29,104.00"
"Accounts Receivable - Trade, Net","14,068.00","18,488.00","17,270.00","14,893.00","12,213.00"
"Total Receivables, Net","25,642.00","34,108.00","31,093.00","28,258.00","25,611.00"
Total Inventory,"14,730.00","17,132.00","14,880.00","16,520.00","15,247.00"
Prepaid Expenses,"1,801.00","1,336.00",837.00,786.00,"1,399.00"
"Other Current Assets, Total","3,766.00","3,121.00","3,315.00","2,978.00","1,156.00"
Total Current Assets,"79,679.00","85,265.00","79,799.00","84,948.00","72,517.00"
"Property/Plant/Equipment, Total - Gross","300,478.00","287,017.00","273,412.00","262,941.00","248,967.00"
"Accumulated Depreciation, Total","(192,143.00)","(170,609.00)","(160,088.00)","(153,544.00)","(136,996.00)"
"Property/Plant/Equipment, Total - Net","108,335.00","116,408.00","113,324.00","109,397.00","111,971.00"
"Goodwill, Net","8,807.00","8,346.00","8,174.00","1,427.00","1,157.00"
"Intangibles, Net","24,721.00","24,832.00","20,748.00","13,160.00","14,205.00"
Long Term Investments,"31,543.00","29,300.00","24,932.00","23,903.00","21,772.00"
Note Receivable - Long Term,"2,458.00","1,982.00","1,877.00","2,878.00","3,048.00"
"Other Long Term Assets, Total","10,589.00","7,161.00","7,908.00","6,918.00","6,308.00"
Total Assets,"266,132.00","273,294.00","256,762.00","242,631.00","230,978.00"
Accounts Payable,"23,574.00","28,394.00","26,134.00","26,479.00","23,227.00"
Accrued Expenses,"8,163.00","9,487.00","8,960.00","7,644.00","7,104.00"
Notes Payable/Short Term Debt,"11,305.00","8,710.00","8,316.00","6,396.00","9,469.00"
Current Port. of LT Debt/Capital Leases,"5,794.00","6,109.00","4,990.00","4,700.00","4,451.00"
"Other Current liabilities, Total","15,840.00","17,544.00","13,834.00","11,486.00","10,434.00"
Total Current Liabilities,"64,676.00","70,244.00","62,234.00","56,705.00","54,685.00"
Long Term Debt,"50,852.00","39,816.00","36,584.00","39,141.00","39,105.00"
Capital Lease Obligations,"7,736.00","6,263.00","1,665.00","1,117.00",311.00
Total Long Term Debt,"58,588.00","46,079.00","38,249.00","40,258.00","39,416.00"
Total Debt,"75,687.00","60,898.00","51,555.00","51,354.00","53,336.00"
Deferred Income Tax,"10,326.00","11,858.00","11,490.00","10,828.00","11,060.00"
Minority Interest,"2,383.00","2,527.00","2,474.00","2,481.00","2,894.00"
"Other Liabilities, Total","26,457.00","25,808.00","26,675.00","20,803.00","24,243.00"
Total Liabilities,"162,430.00","156,516.00","141,122.00","131,075.00","132,298.00"
"Common Stock, Total","8,267.00","8,123.00","8,227.00","7,882.00","7,604.00"
Additional Paid-In Capital,"107,078.00","121,170.00","120,569.00","112,040.00","105,547.00"
Treasury Stock - Common,"(1,387.00)","(1,012.00)","(1,843.00)",(458.00),(600.00)
"Other Equity, Total","(10,256.00)","(11,503.00)","(11,313.00)","(7,908.00)","(13,871.00)"
Total Equity,"103,702.00","116,778.00","115,640.00","111,556.00","98,680.00"
Total Liabilities & Shareholders' Equity,"266,132.00","273,294.00","256,762.00","242,631.00","230,978.00"
Total Common Shares Outstanding,"2,628.73","2,586.41","2,608.13","2,520.61","2,419.78"
"Tangible Book Value per Share, Common Eq",26.70,32.32,33.25,38.47,34.43
