,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,614.00,"1,113.00",965.00,832.00,777.00
Depreciation/Depletion,"1,240.00","1,041.00",775.00,754.00,737.00
Non-Cash Items,673.00,866.00,856.00,898.00,749.00
Cash Taxes Paid,365.00,542.00,471.00,518.00,375.00
Cash Interest Paid,284.00,263.00,407.00,537.00,631.00
Changes in Working Capital,(166.00),(953.00),(997.00),"(1,150.00)","(1,096.00)"
Cash from Operating Activities,"2,361.00","2,067.00","1,599.00","1,334.00","1,167.00"
Capital Expenditures,(933.00),(812.00),(695.00),(595.00),(525.00)
"Other Investing Cash Flow Items, Total",65.00,(406.00),(463.00),(3.00),(333.00)
Cash from Investing Activities,(868.00),"(1,218.00)","(1,158.00)",(598.00),(858.00)
Financing Cash Flow Items,(231.00),0.00,(9.00),(4.00),0.00
Total Cash Dividends Paid,(319.00),(550.00),(519.00),(265.00),(145.00)
"Issuance (Retirement) of Stock, Net",(123.00),16.00,(9.00),146.00,56.00
"Issuance (Retirement) of Debt, Net",(43.00),403.00,(723.00),(540.00),655.00
Cash from Financing Activities,(716.00),(131.00),"(1,260.00)",(663.00),566.00
Foreign Exchange Effects,(3.00),2.00,1.00,(1.00),(4.00)
Net Change in Cash,774.00,720.00,(818.00),72.00,871.00
