,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"15,848.00","14,125.00","13,197.00","12,525.00","12,539.00"
Total Revenue,"15,848.00","14,125.00","13,197.00","12,525.00","12,539.00"
"Cost of Revenue, Total","11,712.00","10,274.00","9,627.00","9,141.00","9,183.00"
Gross Profit,"4,136.00","3,851.00","3,570.00","3,384.00","3,356.00"
"Selling/General/Admin. Expenses, Total","2,362.00","2,215.00","2,064.00","1,962.00","1,974.00"
Depreciation/Amortization,113.00,73.00,75.00,65.00,68.00
Unusual Expense (Income),185.00,101.00,135.00,140.00,104.00
"Other Operating Expenses, Total",(26.00),29.00,45.00,34.00,62.00
Total Operating Expense,"14,346.00","12,692.00","11,946.00","11,342.00","11,391.00"
Operating Income,"1,502.00","1,433.00","1,251.00","1,183.00","1,148.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(98.00),(34.00),(41.00),(30.00),(72.00)
"Other, Net",(49.00),(45.00),(39.00),(42.00),(74.00)
Net Income Before Taxes,"1,355.00","1,354.00","1,171.00","1,111.00","1,002.00"
Provision for Income Taxes,400.00,502.00,447.00,303.00,94.00
Net Income After Taxes,955.00,852.00,724.00,808.00,908.00
Minority Interest,2.00,4.00,6.00,12.00,13.00
Net Income Before Extra. Items,957.00,856.00,730.00,820.00,921.00
Net Income,957.00,856.00,730.00,820.00,921.00
Income Available to Com Excl ExtraOrd,957.00,856.00,730.00,820.00,921.00
Income Available to Com Incl ExtraOrd,957.00,856.00,730.00,820.00,921.00
Diluted Net Income,957.00,856.00,729.71,819.11,940.17
Diluted Weighted Average Shares,172.56,171.05,171.70,172.08,179.08
Diluted EPS Excluding ExtraOrd Items,5.55,5.00,4.25,4.76,5.25
DPS - Common Stock Primary Issue,1.95,1.35,1.70,1.70,1.55
Diluted Normalized EPS,6.30,5.38,4.74,5.35,5.78
Dilution Adjustment,(0.29),(0.89),19.17,6.42,--
