,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,324.00,400.00,312.00,312.00,214.00
Depreciation/Depletion,497.00,483.00,247.00,251.00,191.00
Non-Cash Items,333.00,241.00,183.00,158.00,120.00
Cash Taxes Paid,179.00,155.00,170.00,147.00,83.00
Changes in Working Capital,(165.00),(303.00),(219.00),(205.00),(66.00)
Cash from Operating Activities,989.00,821.00,523.00,516.00,459.00
Capital Expenditures,(258.00),(252.00),(197.00),(148.00),(192.00)
"Other Investing Cash Flow Items, Total",5.00,1.00,(752.00),(3.00),"(1,387.00)"
Cash from Investing Activities,(253.00),(251.00),(949.00),(151.00),"(1,579.00)"
Financing Cash Flow Items,(38.00),(65.00),(64.00),(84.00),(66.00)
Total Cash Dividends Paid,(141.00),(111.00),(107.00),(75.00),(68.00)
"Issuance (Retirement) of Debt, Net",18.00,(294.00),765.00,(293.00),"1,341.00"
Cash from Financing Activities,(161.00),(480.00),563.00,(453.00),"1,190.00"
Foreign Exchange Effects,9.00,(14.00),(87.00),92.00,(45.00)
Net Change in Cash,584.00,76.00,50.00,4.00,25.00
"Issuance (Retirement) of Stock, Net",(10.00),(31.00),(1.00),(17.00),(5.00)
