,30-Jun-21,31-Dec-20
Revenue,90.33,95.12
Total Revenue,90.33,95.12
"Cost of Revenue, Total",65.76,70.63
Gross Profit,24.57,24.49
"Selling/General/Admin. Expenses, Total",19.47,15.65
Depreciation/Amortization,2.02,2.07
Unusual Expense (Income),(0.00),(0.29)
"Other Operating Expenses, Total",0.49,0.54
Total Operating Expense,87.74,88.61
Operating Income,2.60,6.52
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.16),(0.20)
"Other, Net",0.12,0.16
Net Income Before Taxes,2.56,6.47
Provision for Income Taxes,0.90,2.19
Net Income After Taxes,1.66,4.28
Minority Interest,0.01,0.01
Equity In Affiliates,0.01,(0.04)
Net Income Before Extra. Items,1.68,4.26
Net Income,1.68,4.26
Total Adjustments to Net Income,(0.00),(0.00)
Income Available to Com Excl ExtraOrd,1.68,4.26
Income Available to Com Incl ExtraOrd,1.68,4.26
Diluted Net Income,1.68,4.26
Diluted Weighted Average Shares,12.94,12.76
Diluted EPS Excluding ExtraOrd Items,0.13,0.33
DPS - Common Stock Primary Issue,0.00,0.25
Diluted Normalized EPS,0.13,0.32
