,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17
Cash,41.48,29.15,26.17,36.79
Cash & Equivalents,15.75,5.75,8.00,1.00
Cash and Short Term Investments,57.23,34.90,34.18,37.79
"Accounts Receivable - Trade, Net",20.72,22.33,27.68,22.59
"Total Receivables, Net",27.82,28.80,40.48,30.85
Total Inventory,13.29,17.35,17.84,23.53
Prepaid Expenses,3.82,5.53,7.11,2.73
"Other Current Assets, Total",(0.00),9.27,7.73,--
Total Current Assets,102.15,86.57,99.60,94.90
"Property/Plant/Equipment, Total - Gross",29.96,29.90,19.99,16.09
"Accumulated Depreciation, Total",(11.70),(10.46),(9.20),(7.74)
"Property/Plant/Equipment, Total - Net",18.26,19.44,10.79,8.35
"Goodwill, Net",24.62,24.62,24.95,21.01
"Intangibles, Net",0.70,1.26,1.13,1.36
Long Term Investments,0.46,0.22,0.12,0.12
"Other Long Term Assets, Total",3.63,4.92,5.13,5.44
Total Assets,149.81,137.03,141.72,131.19
Accounts Payable,31.17,26.66,35.08,35.79
Accrued Expenses,12.11,11.49,12.96,13.24
Notes Payable/Short Term Debt,0.03,0.01,0.02,0.02
Current Port. of LT Debt/Capital Leases,24.57,18.31,15.31,13.94
"Other Current liabilities, Total",14.13,15.59,20.50,13.74
Total Current Liabilities,82.00,72.05,83.87,76.72
Long Term Debt,13.03,15.64,15.97,8.42
Capital Lease Obligations,6.35,6.74,0.00,0.02
Total Long Term Debt,19.38,22.37,15.97,8.44
Total Debt,43.98,40.69,31.30,22.40
Deferred Income Tax,0.12,0.18,0.33,0.38
Minority Interest,0.00,(0.18),(0.12),0.09
"Other Liabilities, Total",7.64,7.80,5.84,10.55
Total Liabilities,109.15,102.21,105.89,96.18
"Common Stock, Total",4.65,4.65,4.65,4.59
Additional Paid-In Capital,1.53,1.53,1.53,--
Retained Earnings (Accumulated Deficit),34.54,28.69,29.72,30.79
Treasury Stock - Common,(0.04),(0.04),(0.06),(0.38)
Total Equity,40.67,34.83,35.83,35.01
Total Liabilities & Shareholders' Equity,149.81,137.03,141.72,131.19
Total Common Shares Outstanding,12.89,12.89,12.89,12.71
"Tangible Book Value per Share, Common Eq",1.19,0.69,0.76,0.99
"Other Equity, Total",(0.00),(0.00),(0.00),--
