,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,"28,237.00","21,948.00","31,329.00","23,898.00","26,314.00"
"Total Receivables, Net","9,707.00","10,329.00","14,746.00","12,868.00","17,417.00"
"Property/Plant/Equipment, Total - Net","2,649.00","2,872.00","1,599.00","1,380.00","1,513.00"
"Goodwill, Net","16,583.00","17,776.00","16,771.00","15,391.00","16,684.00"
"Intangibles, Net","4,431.00","4,872.00","5,040.00","3,170.00","3,267.00"
Long Term Investments,"557,868.00","542,892.00","591,317.00","576,071.00","589,960.00"
Insurance Receivables,"27,953.00","29,161.00","27,203.00","17,373.00","17,418.00"
Note Receivable - Long Term,845.00,949.00,962.00,"1,266.00","1,071.00"
"Other Long Term Assets, Total","33,765.00","36,244.00","27,299.00","5,856.00","2,517.00"
Deferred Policy Acquisition Costs,"17,779.00","18,204.00","28,502.00","24,772.00","26,341.00"
"Other Assets, Total","104,772.00","95,631.00","185,927.00","188,083.00","190,281.00"
Total Assets,"804,589.00","780,878.00","930,695.00","870,128.00","892,783.00"
Policy Liabilities,"613,879.00","592,343.00","729,888.00","706,548.00","727,585.00"
Notes Payable/Short Term Debt,"1,516.00",679.00,"1,229.00",0.00,0.00
Current Port. of LT Debt/Capital Leases,94.00,18.00,196.00,"2,326.00","3,775.00"
"Other Current liabilities, Total","16,372.00","15,817.00","36,995.00","33,921.00","32,799.00"
Long Term Debt,"20,834.00","24,823.00","24,990.00","9,514.00","8,453.00"
Total Long Term Debt,"20,834.00","24,823.00","24,990.00","9,514.00","8,453.00"
Total Debt,"22,444.00","25,520.00","26,415.00","11,840.00","12,228.00"
Deferred Income Tax,"6,470.00","5,843.00","4,621.00","5,784.00","6,187.00"
Minority Interest,"4,565.00","4,730.00","10,824.00","5,656.00","5,283.00"
"Other Liabilities, Total","69,248.00","66,728.00","59,524.00","36,768.00","38,104.00"
Total Liabilities,"732,978.00","710,981.00","868,267.00","800,517.00","822,186.00"
"Common Stock, Total","5,538.00","5,537.00","5,553.00","5,554.00","5,554.00"
Additional Paid-In Capital,"21,735.00","21,706.00","21,894.00","20,904.00","20,983.00"
Retained Earnings (Accumulated Deficit),"28,986.00","25,932.00","26,546.00","32,091.00","29,455.00"
Treasury Stock - Common,(744.00),(752.00),"(1,038.00)","(1,060.00)",(297.00)
Unrealized Gain (Loss),"20,275.00","19,328.00","11,566.00","15,992.00","14,643.00"
"Other Equity, Total","(4,179.00)","(1,854.00)","(2,093.00)","(3,870.00)",259.00
Total Equity,"71,611.00","69,897.00","62,428.00","69,611.00","70,597.00"
Total Liabilities & Shareholders' Equity,"804,589.00","780,878.00","930,695.00","870,128.00","892,783.00"
Total Common Shares Outstanding,"2,386.09","2,386.59","2,383.30","2,383.43","2,419.24"
"Tangible Book Value per Share, Common Eq",21.20,19.80,17.04,21.42,20.93
