,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"16,436.00","19,477.00","19,124.00","18,484.00","16,519.00"
Total Revenue,"16,436.00","19,477.00","19,124.00","18,484.00","16,519.00"
"Cost of Revenue, Total","14,281.00","16,023.00","15,450.00","14,652.00","13,499.00"
Gross Profit,"2,155.00","3,454.00","3,674.00","3,832.00","3,020.00"
"Selling/General/Admin. Expenses, Total",832.00,870.00,911.00,890.00,791.00
Research & Development,"1,062.00","1,285.00","1,250.00","1,227.00",703.00
Depreciation/Amortization,735.00,408.00,310.00,267.00,253.00
Unusual Expense (Income),207.00,65.00,56.00,66.00,192.00
"Other Operating Expenses, Total",(102.00),(143.00),(1.00),--,--
Total Operating Expense,"17,015.00","18,508.00","17,977.00","17,102.00","15,279.00"
Operating Income,(579.00),969.00,"1,147.00","1,382.00","1,240.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(348.00),(289.00),(177.00),(74.00),(30.00)
"Other, Net",(11.00),(23.00),(25.00),(28.00),(38.00)
Net Income Before Taxes,(938.00),657.00,945.00,"1,280.00","1,172.00"
Provision for Income Taxes,132.00,263.00,303.00,207.00,189.00
Net Income After Taxes,"(1,070.00)",394.00,642.00,"1,073.00",983.00
Minority Interest,(19.00),(81.00),(96.00),(79.00),(58.00)
Net Income Before Extra. Items,"(1,089.00)",313.00,546.00,994.00,925.00
Net Income,"(1,089.00)",313.00,546.00,877.00,925.00
Income Available to Com Excl ExtraOrd,"(1,089.00)",313.00,546.00,994.00,925.00
Income Available to Com Incl ExtraOrd,"(1,089.00)",313.00,546.00,877.00,925.00
Diluted Net Income,"(1,089.00)",313.00,546.00,877.00,925.00
Diluted Weighted Average Shares,239.39,239.58,239.40,240.74,239.37
Diluted EPS Excluding ExtraOrd Items,(4.55),1.31,2.28,4.13,3.86
DPS - Common Stock Primary Issue,0.30,0.20,1.25,1.25,1.25
Diluted Normalized EPS,(3.18),1.49,2.46,4.34,4.54
Dilution Adjustment,0.00,0.00,0.00,0.00,--
Total Extraordinary Items,(117.00),--,--,--,--
"Interest Exp.(Inc.),Net-Operating, Total",(159.00),--,--,--,--
