,30-Jun-21,31-Dec-20
Revenue,989.00,969.00
Total Revenue,989.00,969.00
"Cost of Revenue, Total",135.00,126.00
Gross Profit,854.00,843.00
"Selling/General/Admin. Expenses, Total",523.00,409.00
Research & Development,22.00,22.00
Depreciation/Amortization,333.00,557.00
"Interest Exp.(Inc.),Net-Operating, Total",65.00,129.00
"Other Operating Expenses, Total",146.00,489.00
Total Operating Expense,"1,224.00","1,732.00"
Operating Income,(235.00),(763.00)
"Interest Inc.(Exp.),Net-Non-Op., Total",(129.00),(151.00)
"Other, Net",108.00,(29.00)
Net Income Before Taxes,(256.00),(943.00)
Provision for Income Taxes,(69.00),(163.00)
Net Income After Taxes,(187.00),(780.00)
Minority Interest,16.00,158.00
Net Income Before Extra. Items,(171.00),(622.00)
Total Extraordinary Items,(1.00),(4.00)
Net Income,(172.00),(626.00)
Income Available to Com Excl ExtraOrd,(171.00),(622.00)
Income Available to Com Incl ExtraOrd,(172.00),(626.00)
Diluted Net Income,(172.00),(626.00)
Diluted Weighted Average Shares,98.94,98.94
Diluted EPS Excluding ExtraOrd Items,(1.73),(6.29)
DPS - Common Stock Primary Issue,0.00,0.00
Diluted Normalized EPS,(1.73),(4.95)
