,30-Jun-21,31-Dec-20
Cash,389.00,698.00
Cash & Equivalents,"2,378.00","2,765.00"
Short Term Investments,8.00,5.00
Cash and Short Term Investments,"2,775.00","3,468.00"
"Accounts Receivable - Trade, Net",679.00,578.00
"Total Receivables, Net","1,141.00","1,113.00"
Total Inventory,78.00,70.00
Prepaid Expenses,114.00,175.00
Total Current Assets,"4,108.00","4,826.00"
"Property/Plant/Equipment, Total - Gross","15,447.00","15,374.00"
"Accumulated Depreciation, Total","(7,441.00)","(7,290.00)"
"Property/Plant/Equipment, Total - Net","8,006.00","8,084.00"
"Goodwill, Net",401.00,147.00
"Intangibles, Net","2,710.00","2,648.00"
Long Term Investments,"2,533.00","2,509.00"
Note Receivable - Long Term,327.00,310.00
"Other Long Term Assets, Total",91.00,46.00
Total Assets,"18,176.00","18,570.00"
Accounts Payable,570.00,682.00
Accrued Expenses,619.00,704.00
Notes Payable/Short Term Debt,0.00,0.00
Current Port. of LT Debt/Capital Leases,"1,298.00","1,421.00"
"Other Current liabilities, Total",489.00,553.00
Total Current Liabilities,"2,976.00","3,360.00"
Long Term Debt,"9,206.00","9,213.00"
Capital Lease Obligations,95.00,98.00
Total Long Term Debt,"9,301.00","9,311.00"
Total Debt,"10,599.00","10,732.00"
Deferred Income Tax,81.00,89.00
Minority Interest,582.00,561.00
"Other Liabilities, Total","1,713.00","1,597.00"
Total Liabilities,"14,653.00","14,918.00"
"Common Stock, Total",297.00,297.00
Additional Paid-In Capital,543.00,543.00
Retained Earnings (Accumulated Deficit),"2,982.00","3,164.00"
Treasury Stock - Common,(2.00),(3.00)
Unrealized Gain (Loss),(12.00),(24.00)
"Other Equity, Total",(285.00),(325.00)
Total Equity,"3,523.00","3,652.00"
Total Liabilities & Shareholders' Equity,"18,176.00","18,570.00"
Total Common Shares Outstanding,98.94,98.94
"Tangible Book Value per Share, Common Eq",4.16,8.66
