,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"20,485.20","21,920.10","21,011.10","20,349.30","18,134.80"
Total Revenue,"20,485.20","21,920.10","21,011.10","20,349.30","18,134.80"
"Cost of Revenue, Total","7,197.70","8,153.90","8,276.40","7,720.80","6,692.80"
Gross Profit,"13,287.50","13,766.20","12,734.70","12,628.50","11,442.00"
"Selling/General/Admin. Expenses, Total","4,239.80","4,410.90","4,145.80","4,138.30","3,659.40"
Depreciation/Amortization,"2,137.90","2,137.70","1,766.30","1,777.90","1,587.30"
Unusual Expense (Income),139.50,187.50,161.80,343.50,(35.60)
"Other Operating Expenses, Total","3,120.20","3,423.80","3,374.10","3,348.50","3,171.40"
Total Operating Expense,"16,835.10","18,313.80","17,724.40","17,329.00","15,075.30"
Operating Income,"3,650.10","3,606.30","3,286.70","3,020.30","3,059.50"
"Interest Inc.(Exp.),Net-Non-Op., Total",(393.50),(403.30),(303.40),(421.90),(389.10)
"Other, Net",(46.40),(64.40),(49.30),(67.50),(14.00)
Net Income Before Taxes,"3,210.20","3,138.60","2,934.00","2,530.90","2,656.40"
Provision for Income Taxes,678.20,801.70,730.70,207.30,747.40
Net Income After Taxes,"2,532.00","2,336.90","2,203.30","2,323.60","1,909.00"
Minority Interest,(92.90),(96.10),(94.00),(92.00),(82.70)
Equity In Affiliates,(4.00),0.70,4.10,5.20,6.60
Net Income Before Extra. Items,"2,435.10","2,241.50","2,113.40","2,236.80","1,832.90"
Net Income,"2,435.10","2,241.50","2,113.40","2,199.60","1,844.00"
Income Available to Com Excl ExtraOrd,"2,435.10","2,241.50","2,113.40","2,236.80","1,832.90"
Income Available to Com Incl ExtraOrd,"2,435.10","2,241.50","2,113.40","2,199.60","1,844.00"
Diluted Net Income,"2,435.10","2,241.50","2,113.76","2,199.60","1,844.00"
Diluted Weighted Average Shares,474.12,473.89,471.63,470.96,437.71
Diluted EPS Excluding ExtraOrd Items,5.14,4.73,4.48,4.75,4.19
DPS - Common Stock Primary Issue,2.75,2.70,2.41,2.41,2.15
Diluted Normalized EPS,5.37,5.02,4.74,5.42,4.13
Total Extraordinary Items,0.00,0.00,(37.20),11.10,14.60
Dilution Adjustment,0.36,0.00,0.00,--,--
