,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,482.63,317.42,284.55,220.61,212.99
Depreciation/Depletion,102.28,73.37,60.91,50.68,44.69
Non-Cash Items,(6.32),11.31,(14.86),5.23,13.07
Cash Taxes Paid,113.98,65.33,65.54,49.25,65.72
Cash Interest Paid,8.06,10.53,9.00,1.91,1.68
Changes in Working Capital,(161.71),(91.97),(103.31),(101.84),(114.08)
Cash from Operating Activities,416.88,310.13,227.29,174.69,156.66
Capital Expenditures,(159.19),(135.97),(176.54),(126.83),(79.71)
"Other Investing Cash Flow Items, Total",(461.92),(48.40),0.00,(68.10),(23.02)
Cash from Investing Activities,(621.12),(184.37),(176.54),(194.93),(102.73)
Financing Cash Flow Items,(34.06),(9.78),(7.21),(2.33),(2.35)
Total Cash Dividends Paid,(31.34),(52.54),(42.40),(38.71),(30.73)
"Issuance (Retirement) of Debt, Net",299.47,(59.84),(9.98),57.66,(16.38)
Cash from Financing Activities,234.07,(122.16),(59.59),16.62,(50.10)
Foreign Exchange Effects,1.77,0.59,0.27,1.41,(0.91)
Net Change in Cash,31.60,4.19,(8.58),(2.20),2.92
"Issuance (Retirement) of Stock, Net",0.00,(0.64),0.18,--,--
