,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,149.00,"1,185.00","1,150.00","1,042.00",880.00
Depreciation/Depletion,"2,136.00","2,121.00","1,219.00",541.00,360.00
Non-Cash Items,703.00,664.00,181.00,465.00,282.00
Cash Taxes Paid,356.00,502.00,352.00,320.00,264.00
Changes in Working Capital,(36.00),(671.00),(191.00),(445.00),(328.00)
Cash from Operating Activities,"2,952.00","3,299.00","2,359.00","1,603.00","1,194.00"
Capital Expenditures,(650.00),(903.00),(710.00),(664.00),(294.00)
"Other Investing Cash Flow Items, Total",170.00,(789.00),748.00,(36.00),(728.00)
Cash from Investing Activities,(480.00),"(1,692.00)",38.00,(700.00),"(1,022.00)"
Financing Cash Flow Items,(152.00),(700.00),(20.00),(2.00),(40.00)
Total Cash Dividends Paid,(503.00),(887.00),(484.00),(440.00),(79.00)
"Issuance (Retirement) of Stock, Net",(123.00),32.00,46.00,17.00,10.00
"Issuance (Retirement) of Debt, Net","2,276.00","2,934.00","(1,252.00)",(106.00),(34.00)
Cash from Financing Activities,"1,498.00","1,379.00","(1,710.00)",(531.00),(143.00)
Foreign Exchange Effects,(123.00),22.00,5.00,(80.00),4.00
Net Change in Cash,"3,847.00","3,008.00",692.00,292.00,29.00
