,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"4,182.00","1,895.00","1,344.00",756.00,408.00
Cash & Equivalents,"4,501.00","2,941.00",485.00,403.00,109.00
Short Term Investments,200.00,500.00,--,--,--
Cash and Short Term Investments,"8,883.00","5,336.00","1,829.00","1,159.00",517.00
"Accounts Receivable - Trade, Net","2,066.00","2,411.00","2,348.00",944.00,"1,465.00"
"Total Receivables, Net","2,670.00","2,974.00","2,891.00","1,113.00","1,724.00"
Total Inventory,"1,930.00","2,166.00","2,034.00",832.00,"1,125.00"
Prepaid Expenses,194.00,231.00,201.00,66.00,98.00
"Other Current Assets, Total",43.00,43.00,38.00,5.00,45.00
Total Current Assets,"13,720.00","10,750.00","6,993.00","3,175.00","3,509.00"
"Property/Plant/Equipment, Total - Gross","8,297.00","8,771.00","7,667.00","4,068.00","3,624.00"
"Accumulated Depreciation, Total","(3,197.00)","(3,137.00)","(2,500.00)","(2,259.00)","(2,410.00)"
"Property/Plant/Equipment, Total - Net","5,101.00","5,634.00","5,167.00","1,809.00","1,214.00"
"Goodwill, Net","22,658.00","24,074.00","23,486.00","3,608.00","6,191.00"
"Intangibles, Net","10,031.00","11,300.00","11,975.00","1,246.00","1,825.00"
Long Term Investments,129.00,147.00,205.00,15.00,18.00
"Other Long Term Assets, Total",679.00,678.00,572.00,211.00,243.00
Total Assets,"52,318.00","52,583.00","48,398.00","10,064.00","13,163.00"
Accounts Payable,"1,864.00","1,770.00","1,745.00",907.00,697.00
Accrued Expenses,"1,000.00","1,005.00",365.00,371.00,--
Notes Payable/Short Term Debt,5.00,37.00,0.00,0.00,57.00
Current Port. of LT Debt/Capital Leases,"1,155.00",895.00,"1,657.00",228.00,"1,133.00"
"Other Current liabilities, Total","2,147.00","1,910.00","4,072.00",958.00,"1,466.00"
Total Current Liabilities,"6,171.00","5,617.00","7,474.00","2,093.00","3,718.00"
Long Term Debt,"9,324.00","6,864.00","2,564.00","1,648.00","1,364.00"
Capital Lease Obligations,"1,411.00","1,619.00","1,481.00",23.00,--
Total Long Term Debt,"10,735.00","8,483.00","4,045.00","1,671.00","1,364.00"
Total Debt,"11,895.00","9,415.00","5,702.00","1,899.00","2,554.00"
Deferred Income Tax,"1,887.00","2,137.00","2,267.00",157.00,383.00
Minority Interest,530.00,536.00,504.00,6.00,366.00
"Other Liabilities, Total",727.00,"1,014.00","1,209.00",329.00,644.00
Total Liabilities,"20,050.00","17,787.00","15,499.00","4,256.00","6,475.00"
"Common Stock, Total",79.00,79.00,77.00,40.00,39.00
Additional Paid-In Capital,"22,012.00","21,979.00","20,931.00",570.00,591.00
Retained Earnings (Accumulated Deficit),"11,955.00","12,243.00","1,083.00","1,040.00","5,749.00"
Treasury Stock - Common,(201.00),(68.00),(92.00),0.00,(168.00)
"Other Equity, Total","(1,577.00)",563.00,"10,900.00","4,158.00",636.00
Total Equity,"32,268.00","34,796.00","32,899.00","5,808.00","6,688.00"
Total Liabilities & Shareholders' Equity,"52,318.00","52,583.00","48,398.00","10,064.00","13,163.00"
Total Common Shares Outstanding,437.02,436.78,426.78,485.02,216.46
"Tangible Book Value per Share, Common Eq",(0.96),(1.32),(6.00),1.97,(6.14)
Note Receivable - Long Term,163.00,128.00,--,--,--
Unrealized Gain (Loss),(159.00),(131.00),--,--,--
