,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"14,429.00","17,390.00","10,833.00","9,184.00","7,115.00"
Total Revenue,"14,429.00","17,390.00","10,833.00","9,184.00","7,115.00"
"Cost of Revenue, Total","6,087.00","6,741.00","4,118.00","3,386.00","2,934.00"
Gross Profit,"8,342.00","10,649.00","6,715.00","5,798.00","4,181.00"
"Selling/General/Admin. Expenses, Total","1,867.00","2,000.00",987.00,738.00,"1,814.00"
Research & Development,544.00,548.00,190.00,60.00,214.00
Unusual Expense (Income),(8.00),(25.00),2.00,(49.00),33.00
"Other Operating Expenses, Total","5,487.00","6,448.00","4,137.00","3,702.00",890.00
Total Operating Expense,"13,977.00","15,712.00","9,434.00","7,837.00","5,885.00"
Operating Income,452.00,"1,678.00","1,399.00","1,347.00","1,230.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(135.00),(138.00),(109.00),(88.00),(57.00)
"Other, Net",(4.00),(6.00),(1.00),(2.00),(8.00)
Net Income Before Taxes,313.00,"1,534.00","1,289.00","1,257.00","1,165.00"
Provision for Income Taxes,164.00,350.00,139.00,215.00,285.00
Net Income After Taxes,149.00,"1,184.00","1,150.00","1,042.00",880.00
Minority Interest,(64.00),(108.00),(67.00),(2.00),(67.00)
Net Income Before Extra. Items,85.00,"1,076.00","1,083.00","1,040.00",813.00
Net Income,85.00,"1,076.00","1,083.00","1,040.00",813.00
Income Available to Com Excl ExtraOrd,85.00,"1,077.00","1,083.00","1,040.00",813.00
Income Available to Com Incl ExtraOrd,85.00,"1,077.00","1,083.00","1,040.00",813.00
Dilution Adjustment,(1.59),(0.62),0.62,--,--
Diluted Net Income,83.41,"1,076.38","1,083.62","1,040.00",813.00
Diluted Weighted Average Shares,439.00,441.14,266.25,220.66,219.20
Diluted EPS Excluding ExtraOrd Items,0.19,2.44,4.07,4.71,3.71
DPS - Common Stock Primary Issue,2.23,0.00,2.04,1.53,1.50
Diluted Normalized EPS,1.26,3.70,4.08,4.53,3.82
Total Adjustments to Net Income,1.00,--,--,--,--
