,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,15.98,14.21,13.62,13.14,11.21
Total Revenue,15.98,14.21,13.62,13.14,11.21
"Cost of Revenue, Total",9.64,7.84,8.87,6.66,6.07
Gross Profit,6.34,6.37,4.75,6.49,5.14
"Selling/General/Admin. Expenses, Total",4.83,5.59,5.71,5.57,6.14
Depreciation/Amortization,1.30,1.26,0.87,0.80,0.85
Unusual Expense (Income),(0.01),0.00,0.00,0.01,(0.00)
"Other Operating Expenses, Total",0.01,0.00,0.00,(0.00),0.04
Total Operating Expense,15.77,14.71,15.45,13.03,13.10
Operating Income,0.21,(0.50),(1.83),0.11,(1.89)
"Interest Inc.(Exp.),Net-Non-Op., Total",(0.07),(0.08),(0.07),(0.05),(0.03)
"Other, Net",(0.01),(0.03),0.04,(0.03),(0.01)
Net Income Before Taxes,0.12,(0.61),(1.86),0.03,(1.93)
Provision for Income Taxes,(0.04),0.02,0.31,0.39,0.03
Net Income After Taxes,0.16,(0.63),(2.17),(0.36),(1.96)
Minority Interest,(0.00),(0.00),(0.00),(0.00),0.00
Net Income Before Extra. Items,0.16,(0.63),(2.17),(0.36),(1.96)
Net Income,0.16,(0.63),(2.17),(0.36),(1.96)
Total Adjustments to Net Income,0.00,--,--,--,--
Income Available to Com Excl ExtraOrd,0.16,(0.63),(2.17),(0.36),(1.96)
Income Available to Com Incl ExtraOrd,0.16,(0.63),(2.17),(0.36),(1.96)
Diluted Net Income,0.16,(0.63),(2.17),(0.36),(1.96)
Diluted Weighted Average Shares,3.60,3.33,2.83,2.84,2.81
Diluted EPS Excluding ExtraOrd Items,0.04,(0.19),(0.77),(0.13),(0.70)
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,0.04,(0.19),(0.77),(0.12),(0.70)
