,30-Jun-21,31-Dec-20,30-Jun-20,31-Dec-19,30-Jun-19
Net Income/Starting Line,(0.24),0.16,(0.41),(0.63),(0.45)
Depreciation/Depletion,0.69,1.35,0.65,1.20,0.60
Non-Cash Items,0.03,0.03,0.02,0.09,0.04
Changes in Working Capital,0.92,(1.53),0.77,(1.52),(1.74)
Cash from Operating Activities,1.40,0.01,1.03,(0.85),(1.55)
Capital Expenditures,(0.43),(0.97),(0.52),(1.89),(0.49)
"Other Investing Cash Flow Items, Total",(0.01),(0.02),0.04,(0.01),(0.01)
Cash from Investing Activities,(0.44),(0.99),(0.48),(1.90),(0.50)
Financing Cash Flow Items,(1.86),1.64,(0.68),1.25,0.49
"Issuance (Retirement) of Stock, Net",0.00,0.00,(0.03),0.55,(0.00)
"Issuance (Retirement) of Debt, Net",(0.20),3.18,3.43,(0.60),(0.26)
Cash from Financing Activities,(2.06),4.82,2.72,1.19,0.23
Net Change in Cash,(1.11),3.84,3.27,(1.56),(1.81)
